	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.15	35.3059135360413	-0.506334532566579	0.454194477949725	-1.11479676030457	0.264937525089393	0.520351804974389
ENSG00000000419.12	38.0594230571458	0.203107168282259	0.429551308884294	0.472835640542697	0.636330444474692	0.832112190479838
ENSG00000000457.14	12.5313660171629	0.85210374099385	0.725835348914432	1.17396285847509	0.240409902799536	0.48783648613479
ENSG00000000460.17	18.8909399434551	-0.981710184534214	0.612299120012295	-1.60331797392507	0.108864470212295	0.285162946031245
ENSG00000000971.16	2.36009761716892	0.20059210384122	1.53890601716555	0.130347208733827	0.896291731469742	0.956763624728289
ENSG00000001036.14	45.7268663473998	0.492124923839588	0.398740093579006	1.23419975007374	0.217128480549617	0.455916818676941
ENSG00000001084.13	70.8320850920564	-2.89017366063599	0.392900295373478	-7.3559976784662	1.89506308773116e-13	1.14922636412807e-11
ENSG00000001167.14	34.8447216250824	0.736428751950513	0.441566770052552	1.66776306981359	0.0953627696743173	0.261246544743612
ENSG00000001460.18	10.5715980638411	0.465649832189428	0.804872745440608	0.578538451981647	0.562900644670986	0.788370157141194
ENSG00000001461.17	30.4753452029305	1.52570269760125	0.516837063564735	2.95199939237746	0.00315723552148422	0.0189461657318011
ENSG00000001497.16	78.3794032168185	-1.63152217120059	0.361377247774394	-4.5147340659895	6.33962680542718e-06	9.22529625829921e-05
ENSG00000001561.7	0.504987146431123	-2.50236346410616	3.65619142596406	-0.684418065841929	0.493711211337805	NA
ENSG00000001617.12	39.4604783902059	1.53731720841224	0.442024578843994	3.4778998317983	0.00050535873597667	0.00405642469939058
ENSG00000001629.10	131.544362399504	0.796228470117182	0.270027720758383	2.94869159314809	0.00319122262887604	0.0191167844687152
ENSG00000001630.17	4.74294697622279	-0.644653893558487	1.11368652824336	-0.578846809411723	0.562692543229202	0.788370157141194
ENSG00000001631.15	6.20198237672226	0.704614788928928	0.981037968331426	0.718233964101669	0.472613039349958	0.719928195163386
ENSG00000002016.18	12.8688965826535	-0.64500402702335	0.721508740230256	-0.893965645956706	0.371340272308424	0.629521476720018
ENSG00000002079.14	1.86394505008068	1.94411181956994	2.18067287173891	0.891519239206046	0.372650674855629	0.630907537825924
ENSG00000002330.13	9.09237243450788	-0.137824299706243	0.814404665821164	-0.169233190194551	0.865613224290733	0.940044723619732
