	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.15	16.0863082074751	0.0349994116837784	2.14542453154531	0.0163135133252947	0.98698427690181	NA
ENSG00000000419.12	42.357896144257	-0.0992174776961428	0.454100178688328	-0.218492487676911	0.8270454109009	0.999959899463034
ENSG00000000457.14	22.6659565636094	0.224958037835883	0.571411712175485	0.393688181468001	0.693811268001189	0.999959899463034
ENSG00000000460.17	20.2751494519688	-0.188177559930673	0.659851317688408	-0.285181759718079	0.775504894021136	0.999959899463034
ENSG00000000938.13	36.3380532823167	0.5555511913207	0.501515641439721	1.10774449571674	0.267972176960563	0.999959899463034
ENSG00000000971.16	1.29626870944695	0.0349841613674878	3.07787981712413	0.0113663181950281	0.990931185470947	NA
ENSG00000001036.14	39.1556145359767	-0.000166763414406117	0.51476141813308	-0.000323962535908245	0.999741515298842	0.999959899463034
ENSG00000001084.13	26.0924506998759	-0.273633010691439	0.535766047262204	-0.510732272210454	0.609538539608026	0.999959899463034
ENSG00000001167.14	50.3943316593757	-0.349227905184453	0.424887933527013	-0.821929449220873	0.411117051158302	0.999959899463034
ENSG00000001460.18	7.6746120911904	0.620088369870843	1.25372306229741	0.494597561868687	0.620884223580287	NA
ENSG00000001461.17	36.0714005365764	0.147761486580978	0.50825512147773	0.2907230647305	0.771263130052795	0.999959899463034
ENSG00000001497.16	58.8913630379634	-0.156686623635749	0.44987191047735	-0.34829163587807	0.727621174692483	0.999959899463034
ENSG00000001561.7	17.8317418157767	0.0328130871319808	0.704317200523578	0.0465885074332816	0.962841191825012	0.999959899463034
ENSG00000001617.12	31.0705351354731	2.4745277882161	1.83589148875022	1.3478616810303	0.177702874733156	0.999959899463034
ENSG00000001629.10	139.207789380117	0.0595451757710672	0.327848348129484	0.181624144549753	0.855877699381382	0.999959899463034
ENSG00000001630.17	6.54610565606133	1.09206240451331	1.01143262779071	1.07971838608639	0.280267603894613	NA
ENSG00000001631.15	9.41476014202258	-0.0894210354631943	0.855948967141266	-0.104470054753201	0.916796331065155	NA
ENSG00000002016.18	13.1015520874341	-0.0062779902024204	0.724096080689165	-0.00867010659199434	0.993082342477423	NA
ENSG00000002079.14	1.29486680526957	0.0349979879743425	3.07682101768462	0.0113747233827333	0.990924479534961	NA
ENSG00000002330.13	7.18160510562814	0.0364398500039506	1.04948916506365	0.0347215113952516	0.972301807655048	NA
ENSG00000002549.12	136.321319241137	-0.137029888612679	0.312303174840878	-0.438771999940434	0.660826750736404	0.999959899463034
ENSG00000002587.10	5.0792682862774	0.17085472078413	1.27836083865438	0.133651403905625	0.893678234349679	NA
ENSG00000002746.15	1.19666355015045	-0.550158421348133	2.505300100804	-0.219597812322594	0.826184395339566	NA
ENSG00000002822.15	5.59039219472307	1.039914002982	1.07198299137281	0.970084424240968	0.332004412139352	NA
ENSG00000002834.18	255.426431789002	-0.0175353784566852	0.274745562390285	-0.0638240643602304	0.949110316731496	0.999959899463034
ENSG00000002919.14	85.2392016377731	0.0652015242642062	0.501904538633193	0.129908218088176	0.896639042296415	0.999959899463034
ENSG00000003056.8	103.333614784931	-0.147932030405668	0.33157706852203	-0.446146746712792	0.655491247316544	0.999959899463034
ENSG00000003096.14	42.1395362809408	-0.158091794205999	0.540330607920505	-0.292583451480612	0.769840564313013	0.999959899463034
ENSG00000003137.8	0.261851431466879	0.0350487233432298	4.997330191226	0.00701348960386212	0.994404090803995	NA
ENSG00000003147.19	3.14675240630896	0.0334355981355947	1.50623890735059	0.0221980709517101	0.982289956370152	NA
ENSG00000003249.14	15.9112169054091	1.03785270419661	1.87525342117501	0.553446639519425	0.579957609815663	NA
ENSG00000003393.15	43.7543866420437	0.257076625179713	0.486241428346124	0.528701608281548	0.597012461347087	0.999959899463034
ENSG00000003400.15	10.4122537542153	0.337467595644723	0.868141678368449	0.388724103511475	0.697480249953426	NA
ENSG00000003402.20	217.57090567514	0.172652571881162	0.450184419183091	0.383515209598899	0.701337795155537	0.999959899463034
ENSG00000003436.16	6.34634097989246	0.0349976554885772	2.28016644952692	0.015348728377193	0.987753967428895	NA
ENSG00000003509.16	18.2986799913766	-0.109145719728313	0.64925116702516	-0.168110163326181	0.866496613963714	0.999959899463034
ENSG00000003756.17	88.0145551807259	-0.0201541437103946	0.355303671909292	-0.0567237135549218	0.954765283740187	0.999959899463034
ENSG00000003987.14	3.3470452909373	0.204555870591583	1.36884420607188	0.149436926192345	0.881208875954934	NA
ENSG00000003989.17	8.16006976508455	0.0349980441674256	2.22993812143793	0.0156946257077563	0.987478014534218	NA
ENSG00000004059.11	60.3949025289399	0.104456109089626	0.444391036103773	0.235054491659984	0.814166439551717	0.999959899463034
ENSG00000004139.14	13.216557090314	-0.380024264577316	1.01561172550833	-0.374182628097474	0.708268447570652	NA
ENSG00000004142.12	122.797682514538	0.0290886970128685	0.338667401715081	0.0858916354675928	0.931552560868407	0.999959899463034
ENSG00000004399.12	28.531528941108	0.0349970755696444	2.11148704450579	0.0165746106094796	0.986775979574932	0.999959899463034
ENSG00000004455.17	169.593236337605	-0.102955880212419	0.293610218858325	-0.350654962258306	0.725847217488674	0.999959899463034
ENSG00000004468.13	19.3238844248359	-0.152586804545734	0.735281388394134	-0.207521646752118	0.835602488952005	0.999959899463034
ENSG00000004478.8	101.645712032372	-0.13197620592863	0.391148344933591	-0.337407041696769	0.735810077063452	0.999959899463034
ENSG00000004487.16	133.068984553224	-0.130591011636165	0.372774875940488	-0.350321387155429	0.726097516362472	0.999959899463034
ENSG00000004534.15	82.7055224675999	0.00342273613822725	0.358530935608398	0.00954655734914237	0.992383064979602	0.999959899463034
ENSG00000004660.15	4.75038096922262	-0.967571165889651	2.05877779896234	-0.46997357673923	0.638373895798177	NA
ENSG00000004700.16	61.5444970390652	-0.0376669176770912	0.39491234701054	-0.0953804507816157	0.92401264329469	0.999959899463034
ENSG00000004766.17	35.8800556265131	0.0686557799553983	0.497901596458667	0.137890258725245	0.890327149275181	0.999959899463034
ENSG00000004777.18	8.52940019765534	-0.108466933180762	0.891197193097459	-0.121709240133234	0.903129295078452	NA
ENSG00000004779.10	54.0741517665693	0.0467685078880293	0.461527268570245	0.1013342245907	0.919285148720386	0.999959899463034
ENSG00000004864.13	43.2461694537047	0.0124325410224878	0.479492274066286	0.0259285533780448	0.979314325396621	0.999959899463034
ENSG00000004866.20	36.4023646011827	-0.128546406200091	0.511565468067289	-0.251280460125159	0.801597281170443	0.999959899463034
ENSG00000004897.12	152.68316003647	-0.000440535504824164	0.301223539091307	-0.0014624869827674	0.998833104632047	0.999959899463034
ENSG00000004961.15	37.0157327566913	-0.141353370647761	0.481966371891436	-0.293284716302991	0.769304534900548	0.999959899463034
ENSG00000004975.12	38.8721987513737	0.256433757927905	0.488353316752286	0.525098835476897	0.599514485604656	0.999959899463034
ENSG00000005007.12	174.155539081869	-0.0873407061518569	0.297213649438368	-0.293865057398612	0.768861019931166	0.999959899463034
ENSG00000005020.13	33.6109925023896	0.0797054357326343	0.485360172433166	0.164219151590172	0.869558624987555	0.999959899463034
