	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.15	63.4319474609771	-1.80653336485401	0.399568925166002	-4.52120585729604	6.1488355877814e-06	5.90504548937546e-05
ENSG00000000419.12	51.1329715515395	-0.746003121304638	0.408246868510935	-1.82733335843005	0.0676496625361713	0.171406517322102
ENSG00000000457.14	11.4882322867672	1.12100746450528	0.799273513104487	1.40253298292237	0.160756148373713	0.323105744833827
ENSG00000000460.17	15.8648990417239	-0.64165539634692	0.674685506568985	-0.951043693838875	0.341582195790845	0.545870039073998
ENSG00000000971.16	1.21029077680312	3.956634383387	2.64696826089774	1.49477968505942	0.13497194984506	NA
ENSG00000001036.14	86.5751917428359	-1.23191952520378	0.343983448493518	-3.58133372579116	0.000341844666289493	0.00207711609302785
ENSG00000001084.13	66.26794180855	-2.72236816913425	0.425042739592435	-6.40492805910454	1.50440299743171e-10	4.13027004749432e-09
ENSG00000001167.14	59.8749189967452	-0.85228028971258	0.381854170207548	-2.23195229018801	0.0256181163510411	0.0807373616457904
ENSG00000001460.18	7.71898885599538	1.86533209315446	1.02697385734124	1.81633843921175	0.0693184721801458	0.174761348867671
ENSG00000001461.17	27.9691894457862	1.94524248131912	0.578159200090524	3.36454471539075	0.000766700595091954	0.0041872059433379
ENSG00000001497.16	43.8094803968538	-0.324244408229021	0.472699867854539	-0.68594139808137	0.492750063301968	0.68744784730766
ENSG00000001617.12	48.9748126563666	0.717120935543941	0.418002236344746	1.71559114567152	0.0862369002252813	0.206276805156327
ENSG00000001629.10	103.568085998654	1.75250773582542	0.338818909613096	5.17240238399517	2.31103239077709e-07	3.12110311652617e-06
ENSG00000001630.17	7.57206685783752	-1.59567939029929	0.980584054899668	-1.627274461915	0.103678819282702	0.236290488262472
ENSG00000001631.15	5.16924267252316	1.43110490546915	1.15885837054841	1.2349264947639	0.216857861843836	0.400010460170423
ENSG00000002016.18	10.8897824101175	-0.361576289609487	0.79567131464973	-0.454429213360117	0.649519929968248	0.803975377734705
ENSG00000002079.14	1.21141594131186	3.36820365631023	2.67793604802905	1.25776105026452	0.208478185843989	0.38961677022641
ENSG00000002330.13	6.14391022201838	1.2902872832936	1.06043741403522	1.21675005635999	0.223699327529747	0.409068314217627
ENSG00000002549.12	74.8179657000872	-0.956080105578	0.365860067724624	-2.61323984200873	0.00896883374026028	0.0341479683769459
ENSG00000002822.15	2.5119555223789	-1.29590231437424	1.61093517185837	-0.804441008559824	0.421142325629381	0.623390777973035
ENSG00000002834.18	348.904857960071	-0.305518974206929	0.293354057059403	-1.04146837875524	0.29765822156697	0.498873632887185
ENSG00000002919.14	24.7726234699335	0.452380081980222	0.550210824243387	0.822194079155576	0.410966448005283	0.615127888114203
ENSG00000003056.8	87.5422546651697	0.635939987410957	0.341516912063786	1.86210393964965	0.062588440818546	0.161625123375937
ENSG00000003096.14	36.0862910903039	2.01020694288557	0.525405075173421	3.82601356148314	0.0001302351181788	0.000893022834507191
ENSG00000003137.8	0.244953923679694	-0.0724002065344495	4.997330191226	-0.0144877772258406	0.988440830602536	NA
ENSG00000003147.19	1.81502083883431	4.37129817275514	2.30427178218815	1.89704105502873	0.0578225198122853	0.15232606648396
ENSG00000003249.14	33.1245309131439	-0.323315678280897	0.487359169199244	-0.663403294149818	0.507072296712042	0.699114539051066
ENSG00000003393.15	45.4635204238779	0.555991428034297	0.425415686373659	1.30693682871381	0.191234166861517	0.365572762886515
ENSG00000003400.15	21.8640060644403	-7.51506350170007	1.54626397029955	-4.8601426703645	1.17301187572273e-06	1.34815632097235e-05
ENSG00000003402.20	74.70110193766	-0.155144576620878	0.368895432318704	-0.420565187391213	0.674072619005406	0.819721277772681
ENSG00000003436.16	58.4375700086791	-3.17230584181559	0.49792796409389	-6.3710136215957	1.87782961466644e-10	5.00815592948842e-09
ENSG00000003509.16	19.8921448986513	-0.497217978376202	0.599249305095492	-0.829734760054447	0.406688763900841	0.610786193504237
ENSG00000003756.17	50.4726610487396	-0.213719904614247	0.410564446149243	-0.520551417977771	0.602679300135724	0.772193179051635
ENSG00000003987.14	1.97822523566635	0.927933553006246	1.74356232490579	0.532205553969162	0.594583636710446	0.766671524297608
ENSG00000003989.17	107.345171119124	-3.45000141891883	0.411405976673071	-8.38588064961541	5.03473976307813e-17	3.55537792025527e-15
ENSG00000004059.11	61.2182450007738	1.13893978239326	0.401886266962758	2.83398532376027	0.00459714432180414	0.019606809973109
ENSG00000004139.14	13.9808258413084	1.58000796259301	0.739879064141128	2.13549489257022	0.0327206069387746	0.0983142029824232
ENSG00000004142.12	151.545789364442	-0.535981276926727	0.304818253420027	-1.75836345400276	0.07868568728123	0.192596076094116
ENSG00000004399.12	123.983411186298	-1.90675202447222	0.339080258463153	-5.62330591911892	1.87337213713615e-08	3.17689893841224e-07
ENSG00000004455.17	129.134935704044	-0.412128717655594	0.307147189078965	-1.34179550492204	0.179662310104167	0.350147855227041
ENSG00000004478.8	100.340000017935	0.00434057374804753	0.364210280592957	0.0119177683314727	0.990491221743329	0.994475287333364
ENSG00000004487.16	167.022356949236	-0.461090726869548	0.311606401632179	-1.47972161179737	0.138947555601701	0.291856402404049
ENSG00000004534.15	55.7623328266937	-0.233593822209222	0.389219517194792	-0.600159580621224	0.548399888213696	0.73199059745206
ENSG00000004660.15	4.74615233121916	2.590146955929	1.32695459564679	1.95194844226489	0.0509443261250301	0.138643008900156
ENSG00000004700.16	31.3950109386368	1.35203415668443	0.510939363805661	2.64617340620224	0.00814080729916849	0.0315281360994263
ENSG00000004766.17	21.183272041834	0.928234313893583	0.60105235486937	1.54434851868324	0.122503924516631	0.26632266879906
ENSG00000004777.18	7.21233747759647	-0.0727023650270567	0.93370993566186	-0.0778639727931369	0.937936257917067	0.974866492658771
ENSG00000004779.10	55.8230181785494	-0.457267590446645	0.415000972599335	-1.10184703323121	0.270528178905897	0.466854343026177
ENSG00000004864.13	97.4662416668206	-1.37374334751905	0.343629964067217	-3.99774027636987	6.39500635862176e-05	0.000474742260744128
ENSG00000004866.20	19.6577869330642	0.638817340766959	0.613095420263386	1.04195418796722	0.297432919183125	0.498672673622169
ENSG00000004897.12	135.003405404453	0.260332571554145	0.295801389699384	0.880092456018259	0.378809225582327	0.583928990868327
ENSG00000004961.15	28.504438624693	0.715646063673644	0.522968604562386	1.3684302603069	0.171177437699883	0.338161802465156
ENSG00000004975.12	57.1085916025944	-0.57136788378766	0.394415245087914	-1.44864553513976	0.147436597855927	0.30384412839504
