peak_name	gene	sym	cluster
peak_148	ENSG00000157933	SKI	Cluster_1
peak_149	ENSG00000157933	SKI	Cluster_1
peak_150	ENSG00000157933	SKI	Cluster_1
peak_870	ENSG00000162441	LZIC	Cluster_1
peak_1454	ENSG00000116809	ZBTB17	Cluster_1
peak_1862	ENSG00000173436	MICOS10	Cluster_1
peak_1862	ENSG00000077549	CAPZB	Cluster_1
peak_3979	ENSG00000168653	NDUFS5	Cluster_1
peak_4503	ENSG00000178922	HYI	Cluster_1
peak_4503	ENSG00000142949	PTPRF	Cluster_1
peak_5725	ENSG00000177606	JUN	Cluster_1
peak_6228	ENSG00000158966	CACHD1	Cluster_1
peak_6258	ENSG00000162434	JAK1	Cluster_1
peak_6546	ENSG00000116729	WLS	Cluster_1
peak_6764	ENSG00000154027	AK5	Cluster_1
peak_6788	ENSG00000162614	NEXN	Cluster_1
peak_7089	ENSG00000142871	CCN1	Cluster_1
peak_7089	ENSG00000153904	DDAH1	Cluster_1
peak_7103	ENSG00000142871	CCN1	Cluster_1
peak_7103	ENSG00000153904	DDAH1	Cluster_1
peak_7114	ENSG00000142871	CCN1	Cluster_1
peak_7114	ENSG00000153904	DDAH1	Cluster_1
peak_7207	ENSG00000143013	LMO4	Cluster_1
peak_7264	ENSG00000143013	LMO4	Cluster_1
peak_7749	ENSG00000117525	F3	Cluster_1
peak_7781	ENSG00000117519	CNN3	Cluster_1
peak_7784	ENSG00000117519	CNN3	Cluster_1
peak_8472	ENSG00000271810	NA	Cluster_1
peak_8472	ENSG00000155366	RHOC	Cluster_1
peak_8627	ENSG00000116774	OLFML3	Cluster_1
peak_9558	ENSG00000143515	ATP8B2	Cluster_1
peak_9558	ENSG00000143595	AQP10	Cluster_1
peak_9628	ENSG00000160714	UBE2Q1	Cluster_1
peak_9743	ENSG00000143622	RIT1	Cluster_1
peak_9934	ENSG00000183853	KIRREL1	Cluster_1
peak_9935	ENSG00000183853	KIRREL1	Cluster_1
peak_10238	ENSG00000162733	DDR2	Cluster_1
peak_10436	ENSG00000143183	TMCO1	Cluster_1
peak_10437	ENSG00000143183	TMCO1	Cluster_1
peak_10581	ENSG00000197965	MPZL1	Cluster_1
peak_10590	ENSG00000143164	DCAF6	Cluster_1
peak_10590	ENSG00000143158	MPC2	Cluster_1
peak_10598	ENSG00000143164	DCAF6	Cluster_1
peak_10598	ENSG00000143158	MPC2	Cluster_1
peak_10818	ENSG00000116132	PRRX1	Cluster_1
peak_11104	ENSG00000117592	PRDX6	Cluster_1
peak_11480	ENSG00000116191	RALGPS2	Cluster_1
peak_12206	ENSG00000073756	PTGS2	Cluster_1
peak_12243	ENSG00000073756	PTGS2	Cluster_1
peak_12350	ENSG00000162630	B3GALT2	Cluster_1
peak_12452	ENSG00000151414	NEK7	Cluster_1
peak_12458	ENSG00000151414	NEK7	Cluster_1
peak_12703	ENSG00000159176	CSRP1	Cluster_1
peak_12779	ENSG00000198892	SHISA4	Cluster_1
peak_12945	ENSG00000058668	ATP2B4	Cluster_1
peak_13479	ENSG00000117597	UTP25	Cluster_1
peak_14380	ENSG00000136630	HLX	Cluster_1
peak_14555	ENSG00000154309	DISP1	Cluster_1
peak_14794	ENSG00000154380	ENAH	Cluster_1
peak_16852	ENSG00000067082	KLF6	Cluster_1
peak_16855	ENSG00000067082	KLF6	Cluster_1
peak_17946	ENSG00000026025	VIM	Cluster_1
peak_17947	ENSG00000026025	VIM	Cluster_1
peak_17948	ENSG00000026025	VIM	Cluster_1
peak_18508	ENSG00000107863	ARHGAP21	Cluster_1
peak_18518	ENSG00000099256	PRTFDC1	Cluster_1
peak_19031	ENSG00000148516	ZEB1	Cluster_1
peak_19076	ENSG00000148516	ZEB1	Cluster_1
peak_19101	ENSG00000148516	ZEB1	Cluster_1
peak_19509	ENSG00000177283	FZD8	Cluster_1
peak_19510	ENSG00000177283	FZD8	Cluster_1
peak_19525	ENSG00000177283	FZD8	Cluster_1
peak_19526	ENSG00000177283	FZD8	Cluster_1
peak_19773	ENSG00000107562	CXCL12	Cluster_1
peak_20103	ENSG00000107984	DKK1	Cluster_1
peak_20104	ENSG00000107984	DKK1	Cluster_1
peak_20621	ENSG00000165476	REEP3	Cluster_1
peak_20908	ENSG00000197467	COL13A1	Cluster_1
peak_21556	ENSG00000165655	ZNF503	Cluster_1
peak_22581	ENSG00000119938	PPP1R3C	Cluster_1
peak_23160	ENSG00000119943	PYROXD2	Cluster_1
peak_23538	ENSG00000198408	OGA	Cluster_1
peak_23538	ENSG00000166197	NOLC1	Cluster_1
peak_23624	ENSG00000107882	SUFU	Cluster_1
peak_23624	ENSG00000138107	ACTR1A	Cluster_1
peak_23624	ENSG00000171206	TRIM8	Cluster_1
peak_23628	ENSG00000171206	TRIM8	Cluster_1
peak_23773	ENSG00000107957	SH3PXD2A	Cluster_1
peak_23846	ENSG00000148841	ITPRIP	Cluster_1
peak_23999	ENSG00000138166	DUSP5	Cluster_1
peak_24510	ENSG00000165868	HSPA12A	Cluster_1
peak_24702	ENSG00000151893	CACUL1	Cluster_1
peak_24795	ENSG00000198873	GRK5	Cluster_1
peak_25439	ENSG00000148848	ADAM12	Cluster_1
peak_25467	ENSG00000148848	ADAM12	Cluster_1
peak_25487	ENSG00000150760	DOCK1	Cluster_1
peak_25668	ENSG00000175470	PPP2R2D	Cluster_1
peak_25668	ENSG00000176171	BNIP3	Cluster_1
peak_26491	ENSG00000148926	ADM	Cluster_1
peak_26504	ENSG00000133805	AMPD3	Cluster_1
peak_26504	ENSG00000148926	ADM	Cluster_1
peak_26550	ENSG00000072952	IRAG1	Cluster_1
peak_26810	ENSG00000187079	TEAD1	Cluster_1
peak_27009	ENSG00000133818	RRAS2	Cluster_1
peak_27009	ENSG00000129083	COPB1	Cluster_1
peak_27010	ENSG00000133818	RRAS2	Cluster_1
peak_27016	ENSG00000129083	COPB1	Cluster_1
peak_27298	ENSG00000134333	LDHA	Cluster_1
peak_28131	ENSG00000026508	CD44	Cluster_1
peak_28165	ENSG00000026508	CD44	Cluster_1
peak_28190	ENSG00000026508	CD44	Cluster_1
peak_28918	ENSG00000186660	ZFP91	Cluster_1
peak_28918	ENSG00000255073	ZFP91-CNTF	Cluster_1
peak_28918	ENSG00000110031	LPXN	Cluster_1
peak_28918	ENSG00000242689	CNTF	Cluster_1
peak_29777	ENSG00000173621	LRFN4	Cluster_1
peak_30075	ENSG00000172935	MRGPRF	Cluster_1
peak_30161	ENSG00000110092	CCND1	Cluster_1
peak_30180	ENSG00000110092	CCND1	Cluster_1
peak_30186	ENSG00000110092	CCND1	Cluster_1
peak_30193	ENSG00000110092	CCND1	Cluster_1
peak_30197	ENSG00000110092	CCND1	Cluster_1
peak_30241	ENSG00000131620	ANO1	Cluster_1
peak_31278	ENSG00000165490	DDIAS	Cluster_1
peak_31278	ENSG00000137509	PRCP	Cluster_1
peak_31278	ENSG00000137494	ANKRD42	Cluster_1
peak_31725	ENSG00000086991	NOX4	Cluster_1
peak_31726	ENSG00000086991	NOX4	Cluster_1
peak_32059	ENSG00000184384	MAML2	Cluster_1
peak_32145	ENSG00000137693	YAP1	Cluster_1
peak_32230	ENSG00000196611	MMP1	Cluster_1
peak_32773	ENSG00000166741	NNMT	Cluster_1
peak_32830	ENSG00000076043	REXO2	Cluster_1
peak_32833	ENSG00000255663	NA	Cluster_1
peak_32833	ENSG00000076053	RBM7	Cluster_1
peak_32833	ENSG00000180425	C11orf71	Cluster_1
peak_32834	ENSG00000076043	REXO2	Cluster_1
peak_33296	ENSG00000154096	THY1	Cluster_1
peak_33418	ENSG00000196914	ARHGEF12	Cluster_1
peak_33656	ENSG00000166250	CLMP	Cluster_1
peak_33795	ENSG00000165495	PKNOX2	Cluster_1
peak_34534	ENSG00000111186	WNT5B	Cluster_1
peak_34537	ENSG00000111186	WNT5B	Cluster_1
peak_34698	ENSG00000011105	TSPAN9	Cluster_1
peak_34896	ENSG00000185652	NTF3	Cluster_1
peak_34911	ENSG00000185652	NTF3	Cluster_1
peak_34937	ENSG00000185652	NTF3	Cluster_1
peak_34940	ENSG00000185652	NTF3	Cluster_1
peak_36013	ENSG00000121361	KCNJ8	Cluster_1
peak_36123	ENSG00000133703	KRAS	Cluster_1
peak_36137	ENSG00000123094	RASSF8	Cluster_1
peak_36297	ENSG00000152944	MED21	Cluster_1
peak_37059	ENSG00000111371	SLC38A1	Cluster_1
peak_37106	ENSG00000134294	SLC38A2	Cluster_1
peak_37415	ENSG00000123416	TUBA1B	Cluster_1
peak_37453	ENSG00000178401	DNAJC22	Cluster_1
peak_37453	ENSG00000110844	PRPF40B	Cluster_1
peak_37690	ENSG00000196876	SCN8A	Cluster_1
peak_37690	ENSG00000284730	TMDD1	Cluster_1
peak_37693	ENSG00000196876	SCN8A	Cluster_1
peak_37693	ENSG00000284730	TMDD1	Cluster_1
peak_38548	ENSG00000196935	SRGAP1	Cluster_1
peak_38550	ENSG00000196935	SRGAP1	Cluster_1
peak_38635	ENSG00000174099	MSRB3	Cluster_1
peak_38635	ENSG00000139233	LLPH	Cluster_1
peak_38645	ENSG00000149948	HMGA2	Cluster_1
peak_38724	ENSG00000149948	HMGA2	Cluster_1
peak_38736	ENSG00000149948	HMGA2	Cluster_1
peak_38737	ENSG00000149948	HMGA2	Cluster_1
peak_38746	ENSG00000149948	HMGA2	Cluster_1
peak_38747	ENSG00000149948	HMGA2	Cluster_1
peak_38749	ENSG00000149948	HMGA2	Cluster_1
peak_38754	ENSG00000149948	HMGA2	Cluster_1
peak_38909	ENSG00000127334	DYRK2	Cluster_1
peak_38985	ENSG00000127314	RAP1B	Cluster_1
peak_39299	ENSG00000180481	GLIPR1L2	Cluster_1
peak_39299	ENSG00000139278	GLIPR1	Cluster_1
peak_39304	ENSG00000139278	GLIPR1	Cluster_1
peak_39371	ENSG00000139289	PHLDA1	Cluster_1
peak_39600	ENSG00000058272	PPP1R12A	Cluster_1
peak_39604	ENSG00000058272	PPP1R12A	Cluster_1
peak_39605	ENSG00000058272	PPP1R12A	Cluster_1
peak_39990	ENSG00000011465	DCN	Cluster_1
peak_40241	ENSG00000120833	SOCS2	Cluster_1
peak_40404	ENSG00000028203	VEZT	Cluster_1
peak_40404	ENSG00000180263	FGD6	Cluster_1
peak_40517	ENSG00000059758	CDK17	Cluster_1
peak_41017	ENSG00000198431	TXNRD1	Cluster_1
peak_41505	ENSG00000110880	CORO1C	Cluster_1
peak_41510	ENSG00000110880	CORO1C	Cluster_1
peak_41532	ENSG00000110880	CORO1C	Cluster_1
peak_41535	ENSG00000110880	CORO1C	Cluster_1
peak_41537	ENSG00000110880	CORO1C	Cluster_1
peak_41623	ENSG00000076513	ANKRD13A	Cluster_1
