chr1	start1	end1	chr2	start2	end2	peak_name	A549-control	A549-nutlin	GM12878-control	GM12878-nutlin	HCT116-control	HCT116-nutlin	HEK293-control	HEK293-nutlin	HeLa-control	HeLa-nutlin	HepG2-control	HepG2-nutlin	IMR90-control	IMR90-nutlin	MCF7-control	MCF7-nutlin	SKNSH-control	SKNSH-nutlin	U2OS-control	U2OS-nutlin	chr	start	end	gene	sym	p.value	estimate.rho
chr1	980000	985000	chr1	1240000	1245000	peak_29	0.00638343472968015	0.00589260259956616	0.00349176417755487	0.00278629466236817	0.00252314378571889	0.00292055132895649	0.00349292153437511	0.00376627138731225	0.00418515523594101	0.00265992720004848	0.0032080167473009	0.00373564156756457	0.000925965136946336	0.00302768233719583	0.00261381246516903	0.00350291034199574	0.0029639451199241	0.00316647332400983	0.00687509500033181	0.00928522596016956	chr1	1240961	1245961	ENSG00000184163	C1QTNF12	0.000100402206046954	0.760170832590883
chr1	980000	985000	chr1	1245000	1250000	peak_30	0.00616053470986007	0.0064853456861263	0.00293535264720825	0.00388089913061402	0.0048705602182737	0.00553278631059054	0.00381185902725312	0.00484157761409515	0.00336729378566363	0.0045779319605815	0.00398575075825224	0.00435315965696005	0.00750159172696468	0.00566488540157321	0.0014094741049483	0.00333088109229972	0.00293624504222856	0.00388244628588887	0.0118557466336604	0.00813271501365014	chr1	1240961	1245961	ENSG00000184163	C1QTNF12	0.000213716212460771	0.736387375075844
chr1	1030000	1035000	chr1	1115000	1120000	peak_44	0.00614159404760275	0.00468138774655291	0.0120822514504165	0.00956635629407067	0.00600202959385629	0.00549272680468401	0.00378463872082175	0.00385950155828276	0.00467984986180249	0.00367341681235502	0.00428177340613942	0.00427307862338303	0.00824306171498605	0.00622549443928522	0.00266915516480034	0.00215160204854664	0.00680055300401336	0.00723293993886193	0.00277594137579605	0.00466471530690655	chr1	1113579	1118579	ENSG00000131591	C1orf159	0.00765156739109549	0.577610558909321
chr1	1070000	1075000	chr1	1290000	1295000	peak_56	0.00399904883410264	0.00350560670743399	0.00469772581389668	0.00567132225636303	0.00695558969700021	0.00680700557984308	0.00450934480434085	0.00411311318401261	0.00599420852267467	0.00492793727800418	0.00405737067415565	0.00387016105220681	0.00540496555666932	0.00461055775941586	0.00938017538673009	0.00643951000671314	0.00304596329630779	0.00492257572920878	0.00857804078392523	0.00763657452027879	chr1	1071804	1076804	ENSG00000237330	RNF223	0.012625963003526	0.546669130897176
chr1	1915000	1920000	chr1	2045000	2050000	peak_116	0.00839623613521564	0.0105092228061771	0.00459112566651858	0.00481797954078425	0.00903079723598004	0.0107097987069229	0.00845048053976563	0.00740514162875188	0.00859741147022499	0.00966115847943452	0.0110554827229166	0.0107421951815371	0.0048062073394498	0.00436849178622317	0.0113716841927248	0.0104802574330056	0.00469106572906775	0.00830096291808267	0.00869090939276709	0.0104131068042788	chr1	1916295	1921295	ENSG00000178821	TMEM52	0.023424588566257	0.504113497626849
chr1	2230000	2235000	chr1	2310000	2315000	peak_148	0.0167523857578537	0.015926859598517	0.011129682497652	0.0100164617771375	0.00954078795688933	0.00924178423515169	0.0159943180752927	0.017246766209663	0.0126188230245389	0.0133977943826819	0.0130854499620468	0.011493680941359	0.0224552758509069	0.0214509990849217	0.0137923640512263	0.0153269174070986	0.0148588381652537	0.0167364066706959	0.0113016890926629	0.0143704340930223	chr1	2225819	2230819	ENSG00000157933	SKI	6.61501683796736e-05	0.7722577255068
chr1	2230000	2235000	chr1	2315000	2320000	peak_149	0.0150577135596003	0.0143770320279282	0.0104174814365451	0.00914091311882768	0.00707870647881454	0.00949117391938116	0.0102277420373341	0.0124212484498429	0.00894964282352421	0.0108648239399717	0.00769473829988128	0.0095690588052977	0.0194762056600325	0.0207774116298439	0.0105002842376084	0.0126472512948098	0.0105097081336004	0.0123043388658067	0.00710268202775418	0.00924066214190847	chr1	2225819	2230819	ENSG00000157933	SKI	0.00227838871936537	0.641926445873529
chr1	2230000	2235000	chr1	2380000	2385000	peak_150	0.0131799434360709	0.0134427103465549	0.00877121507625108	0.00795450938840606	0.00918614703233859	0.00737413368598554	0.0121929941591273	0.0113981458880026	0.0120539572428033	0.0152647192104408	0.00664196881263121	0.00764541508204067	0.0163010396482983	0.0171477131151599	0.0070386555195292	0.00811713920553044	0.00990413778825434	0.00961300485893589	0.00780636530555389	0.00675115775353236	chr1	2225819	2230819	ENSG00000157933	SKI	0.00644035243794853	0.58761249253269
chr1	3065000	3070000	chr1	3280000	3285000	peak_223	0.00706664278777182	0.00916636095850316	0.00195480384500356	0.00216124439197223	0.00400998772925583	0.00600081366860304	0.00467520476708457	0.00389192819642939	0.00434709472115971	0.00617014314699178	0.0165829244149584	0.0167762293578068	0.00523836164889825	0.00452619380853386	0.0126423683653868	0.0124719823521508	0.00625749729782072	0.00631334576751686	0.00487276341074487	0.00317469812838321	chr1	3066668	3071668	ENSG00000142611	PRDM16	4.62163580254007e-05	0.782100195614363
chr1	3065000	3070000	chr1	3285000	3290000	peak_224	0.00302043920602564	0.00350826832923892	0.00293037095921983	0.00165705965476962	0.00176690166625647	0.00414791424412006	0.00247449517986412	0.00331346262760741	0.00312615704201709	0.00329521597110636	0.00932364486355877	0.0111369214750205	0.00238831680492609	0.00276283387808714	0.00871701962793112	0.00716992909019267	0.00315684997853969	0.00311641099752125	0.00742495475586339	0.00386038918432237	chr1	3066668	3071668	ENSG00000142611	PRDM16	0.000162071663256925	0.7453950388313
