chr	start	end	gene	sym	eig	compartment
chr1	1471765	1471767	ENSG00000160072	ATAD3B	0.538371124239872	A
chr1	6624866	6624868	ENSG00000041988	THAP3	0.527384099988046	A
chr1	3069168	3069170	ENSG00000142611	PRDM16	0.470784554545405	A
chr1	2050411	2050413	ENSG00000067606	PRKCZ	0.7355151346652	A
chr1	1308597	1308599	ENSG00000169972	PUSL1	0.375155725403289	A
chr1	1324756	1324758	ENSG00000224051	CPTP	0.375155725403289	A
chr1	2228319	2228321	ENSG00000157933	SKI	0.679921769562724	A
chr1	1331280	1331282	ENSG00000169962	TAS1R3	0.375155725403289	A
chr1	10472288	10472290	ENSG00000142655	PEX14	0.406190990447846	A
chr1	2425980	2425982	ENSG00000149527	PLCH2	0.462180303608184	A
chr1	9292894	9292896	ENSG00000171621	SPSB1	0.4264716438174	A
chr1	6424776	6424778	ENSG00000187017	ESPN	0.563267197019907	A
chr1	6244179	6244181	ENSG00000173673	HES3	0.552225421509978	A
chr1	5990927	5990929	ENSG00000069424	KCNAB2	0.654183399363135	A
chr1	15684320	15684322	ENSG00000116786	PLEKHM2	0.65912985783065	A
chr1	1232237	1232239	ENSG00000176022	B3GALT6	0.446207031701908	A
chr1	8945867	8945869	ENSG00000131686	CA6	0.550740092553618	A
chr1	9943428	9943430	ENSG00000173614	NMNAT1	0.413186525425868	A
chr1	6613731	6613733	ENSG00000116273	PHF13	0.527384099988046	A
chr1	3746460	3746462	ENSG00000162592	CCDC27	0.742773590245906	A
chr1	7771296	7771298	ENSG00000049245	VAMP3	0.62585488485994	A
chr1	11479166	11479168	ENSG00000204624	DISP3	0.646180160079796	A
chr1	11736084	11736086	ENSG00000177674	AGTRAP	0.576213229609408	A
chr1	1280436	1280438	ENSG00000162572	SCNN1D	0.446207031701908	A
chr1	9651731	9651733	ENSG00000171608	PIK3CD	0.479527483189576	A
chr1	15152566	15152568	ENSG00000171729	TMEM51	0.482228249202704	A
chr1	1173880	1173882	ENSG00000162571	TTLL10	0.664356170859517	A
chr1	3625015	3625017	ENSG00000158109	TPRG1L	0.698704925797294	A
chr1	11806191	11806193	ENSG00000011021	CLCN6	0.620624488893469	A
chr1	12857086	12857088	ENSG00000120952	PRAMEF2	0.409169434709302	A
chr1	15456728	15456730	ENSG00000142615	CELA2A	0.554816334029063	A
chr1	15465909	15465911	ENSG00000215704	CELA2B	0.554816334029063	A
chr1	15836095	15836097	ENSG00000065526	SPEN	0.546396049379722	A
chr1	2391828	2391830	ENSG00000157916	RER1	0.557745298125049	A
chr1	12230030	12230032	ENSG00000048707	VPS13D	0.532354303170472	A
chr1	19664875	19664877	ENSG00000158748	HTR6	0.432809061003582	A
chr1	3454665	3454667	ENSG00000130762	ARHGEF16	0.448321460096565	A
chr1	9997206	9997208	ENSG00000162444	RBP7	0.413186525425868	A
chr1	22428838	22428840	ENSG00000184677	ZBTB40	0.355908898441322	A
chr1	19597067	19597069	ENSG00000270136	MICOS10-NBL1	0.605435474732389	A
chr1	11654375	11654377	ENSG00000132879	FBXO44	0.479910705599816	A
chr1	13700198	13700200	ENSG00000116731	PRDM2	0.529307852534162	A
chr1	12791397	12791399	ENSG00000116721	PRAMEF1	0.495904485438998	A
chr1	9588922	9588924	ENSG00000188807	TMEM201	0.380830206858857	A
chr1	3652516	3652518	ENSG00000078900	TP73	0.698704925797294	A
chr1	11189355	11189357	ENSG00000171819	ANGPTL7	0.536832763928714	A
chr1	7954291	7954293	ENSG00000116288	PARK7	0.420307326720737	A
chr1	26410817	26410819	ENSG00000131914	LIN28A	0.603127303981893	A
chr1	24745447	24745449	ENSG00000169504	CLIC4	0.554958329923676	A
chr1	27392622	27392624	ENSG00000181773	GPR3	0.402124806599897	A
chr1	16352575	16352577	ENSG00000055070	SZRD1	0.627551365348589	A
chr1	26111173	26111175	ENSG00000175087	PDIK1L	0.643979933926866	A
chr1	6785454	6785456	ENSG00000171735	CAMTA1	0.513301848738085	A
chr1	16440724	16440726	ENSG00000157191	NECAP2	0.658597542756069	A
chr1	24631716	24631718	ENSG00000133226	SRRM1	0.415550103530407	A
chr1	11766742	11766744	ENSG00000215910	C1orf167	0.576213229609408	A
chr1	11664200	11664202	ENSG00000116663	FBXO6	0.479910705599816	A
chr1	15659869	15659871	ENSG00000215695	RSC1A1	0.65912985783065	A
chr1	26900238	26900240	ENSG00000090273	NUDC	0.580689574739461	A
chr1	23956839	23956841	ENSG00000189266	PNRC2	0.447186129440512	A
chr1	28369582	28369584	ENSG00000204138	PHACTR4	0.513530192092594	A
chr1	26177491	26177493	ENSG00000142675	CNKSR1	0.643979933926866	A
chr1	26159079	26159081	ENSG00000197245	FAM110D	0.643979933926866	A
chr1	28329002	28329004	ENSG00000130772	MED18	0.513530192092594	A
chr1	26826688	26826690	ENSG00000204160	ZDHHC18	0.488650307522382	A
chr1	25543606	25543608	ENSG00000157978	LDLRAP1	0.428728401335797	A
chr1	28236109	28236111	ENSG00000130770	ATP5IF1	0.37712860377106	A
chr1	27234668	27234670	ENSG00000142784	WDTC1	0.454231508981725	A
chr1	26432282	26432284	ENSG00000117682	DHDDS	0.603127303981893	A
chr1	26863149	26863151	ENSG00000175793	SFN	0.488650307522382	A
chr1	28259518	28259520	ENSG00000130766	SESN2	0.37712860377106	A
chr1	31409565	31409567	ENSG00000168528	SERINC2	0.479448363725223	A
chr1	4654732	4654734	ENSG00000196581	AJAP1	0.425813455138785	A
chr1	26529761	26529763	ENSG00000117676	RPS6KA1	0.492186376795962	A
chr1	26472450	26472452	ENSG00000198830	HMGN2	0.603127303981893	A
chr1	9539465	9539467	ENSG00000171612	SLC25A33	0.380830206858857	A
chr1	15756607	15756609	ENSG00000162458	FBLIM1	0.473049018834946	A
chr1	34781214	34781216	ENSG00000188910	GJB3	0.458202072410109	A
chr1	15526813	15526815	ENSG00000116138	DNAJC16	0.60429736086671	A
chr1	27342020	27342022	ENSG00000142765	SYTL1	0.402124806599897	A
chr1	26169908	26169910	ENSG00000142684	ZNF593	0.643979933926866	A
chr1	26787054	26787056	ENSG00000060642	PIGV	0.673393268115388	A
chr1	12746200	12746202	ENSG00000157330	C1orf158	0.495904485438998	A
chr1	11691710	11691712	ENSG00000162490	DRAXIN	0.479910705599816	A
chr1	13892792	13892794	ENSG00000189337	KAZN	0.285655491135897	A
chr1	13254212	13254214	ENSG00000270601	PRAMEF5	NA	NA
chr1	12166991	12166993	ENSG00000028137	TNFRSF1B	0.653792810130231	A
chr1	15742499	15742501	ENSG00000162460	TMEM82	0.473049018834946	A
chr1	10032832	10032834	ENSG00000130939	UBE4B	0.437452842181525	A
chr1	20028179	20028181	ENSG00000127472	PLA2G5	0.55119467882852	A
chr1	29236516	29236518	ENSG00000060656	PTPRU	0.495872306545901	A
chr1	34755047	34755049	ENSG00000189280	GJB5	0.458202072410109	A
chr1	35808016	35808018	ENSG00000134698	AGO4	0.566551087615254	A
chr1	37692516	37692518	ENSG00000134690	CDCA8	0.646863437614933	A
chr1	32465072	32465074	ENSG00000273274	ZBTB8B	0.387493208523985	A
chr1	6205475	6205477	ENSG00000158286	RNF207	0.552225421509978	A
chr1	18630846	18630848	ENSG00000009709	PAX7	0.547467056303027	A
chr1	12716115	12716117	ENSG00000188984	AADACL3	0.495904485438998	A
chr1	26019884	26019886	ENSG00000158008	EXTL1	0.537885171230728	A
chr1	37556940	37556942	ENSG00000163879	DNALI1	0.611421430359298	A
chr1	40783787	40783789	ENSG00000117013	KCNQ4	0.827227460795613	A
chr1	13303539	13303541	ENSG00000237700	PRAMEF33	0.386195828436897	A
chr1	26993692	26993694	ENSG00000253368	TRNP1	0.580689574739461	A
chr1	15736258	15736260	ENSG00000162461	SLC25A34	0.473049018834946	A
chr1	42153410	42153412	ENSG00000044012	GUCA2B	0.322229519686561	A
chr1	19251805	19251807	ENSG00000053372	MRTO4	0.653831256618249	A
chr1	40691648	40691650	ENSG00000066136	NFYC	0.667002988480252	A
chr1	15617458	15617460	ENSG00000197312	DDI2	0.65912985783065	A
chr1	46303698	46303700	ENSG00000173660	UQCRH	0.875259197370295	A
chr1	35869808	35869810	ENSG00000092847	AGO1	0.566551087615254	A
chr1	12917625	12917627	ENSG00000204510	PRAMEF7	NA	NA
chr1	36224443	36224445	ENSG00000054118	THRAP3	0.620733375683808	A
chr1	32465057	32465059	ENSG00000254553		0.387493208523985	A
chr1	42380795	42380797	ENSG00000177181	RIMKLA	0.565928302998308	A
chr1	17372196	17372198	ENSG00000276747	PADI6	0.612525404297431	A
chr1	17308195	17308197	ENSG00000159339	PADI4	0.612525404297431	A
chr1	37806979	37806981	ENSG00000197982	C1orf122	0.655508377728698	A
chr1	43145153	43145155	ENSG00000186973	FAM183A	0.502589029891886	A
chr1	34166883	34166885	ENSG00000142698	C1orf94	0.329318275534046	A
chr1	35268709	35268711	ENSG00000146463	ZMYM4	0.449085520017979	A
chr1	38009258	38009260	ENSG00000183520	UTP11	0.477157155500254	A
chr1	17755333	17755335	ENSG00000117148	ACTL8	0.566217369043566	A
chr1	42456117	42456119	ENSG00000127125	PPCS	0.499311404248403	A
chr1	40161387	40161389	ENSG00000117000	RLF	0.4725276007297	A
chr1	43650149	43650151	ENSG00000284989		0.626836084776726	A
chr1	34792999	34793001	ENSG00000187513	GJA4	0.458202072410109	A
chr1	43300982	43300984	ENSG00000066056	TIE1	0.753443964326107	A
chr1	19484403	19484405	ENSG00000173436	MICOS10	0.651711796136041	A
chr1	41361922	41361924	ENSG00000204060	FOXO6	0.753056210163344	A
chr1	40979688	40979690	ENSG00000171793	CTPS1	0.673896477720988	A
chr1	54980628	54980630	ENSG00000143001	TMEM61	0.563496882759333	A
chr1	42785007	42785009	ENSG00000274386	TMEM269	0.493898866063074	A
chr1	53062213	53062215	ENSG00000174348	PODN	0.750734571185917	A
chr1	51577179	51577181	ENSG00000117859	OSBPL9	0.263279178156543	A
chr1	19312326	19312328	ENSG00000040487	SLC66A1	0.605104084796347	A
chr1	52842511	52842513	ENSG00000203995	ZYG11A	0.519184647199181	A
chr1	26693236	26693238	ENSG00000117713	ARID1A	0.562335760644199	A
chr1	52726453	52726455	ENSG00000162378	ZYG11B	0.564317018364382	A
chr1	60865259	60865261	ENSG00000162599	NFIA	-0.202934724471366	B
chr1	62194849	62194851	ENSG00000240563	L1TD1	0.0658098709714642	A
chr1	21509423	21509425	ENSG00000162551	ALPL	0.401742617445078	A
chr1	55039447	55039449	ENSG00000169174	PCSK9	0.522191362196585	A
chr1	54715861	54715863	ENSG00000243725	TTC4	0.654990998503347	A
chr1	44118821	44118823	ENSG00000171872	KLF17	0.716086737408335	A
chr1	53196824	53196826	ENSG00000157184	CPT2	0.654388947909416	A
chr1	64745095	64745097	ENSG00000162437	RAVER2	0.148444016778748	A
chr1	63322567	63322569	ENSG00000187140	FOXD3	0.243623821940206	A
chr1	42463221	42463223	ENSG00000186409	CCDC30	0.499311404248403	A
chr1	46203334	46203336	ENSG00000171357	LURAP1	0.739972686144925	A
chr1	45786987	45786989	ENSG00000086015	MAST2	0.654469607711447	A
chr1	65792514	65792516	ENSG00000184588	PDE4B	-0.402940526192651	B
chr1	46175073	46175075	ENSG00000117472	TSPAN1	0.689387908007502	A
chr1	50960745	50960747	ENSG00000123080	CDKN2C	0.00231562837896799	A
chr1	63774022	63774024	ENSG00000185483	ROR1	0.134307226527985	A
chr1	54053584	54053586	ENSG00000116205	TCEANC2	0.54922798834715	A
