chr	start	end	gene	sym
chr1	1471765	1471767	ENSG00000160072	ATAD3B
chr1	6624866	6624868	ENSG00000041988	THAP3
chr1	3069168	3069170	ENSG00000142611	PRDM16
chr1	2050411	2050413	ENSG00000067606	PRKCZ
chr1	1308597	1308599	ENSG00000169972	PUSL1
chr1	1324756	1324758	ENSG00000224051	CPTP
chr1	2228319	2228321	ENSG00000157933	SKI
chr1	1331280	1331282	ENSG00000169962	TAS1R3
chr1	10472288	10472290	ENSG00000142655	PEX14
chr1	2425980	2425982	ENSG00000149527	PLCH2
chr1	9292894	9292896	ENSG00000171621	SPSB1
chr1	6424776	6424778	ENSG00000187017	ESPN
chr1	6244179	6244181	ENSG00000173673	HES3
chr1	5990927	5990929	ENSG00000069424	KCNAB2
chr1	15684320	15684322	ENSG00000116786	PLEKHM2
chr1	1232237	1232239	ENSG00000176022	B3GALT6
chr1	8945867	8945869	ENSG00000131686	CA6
chr1	9943428	9943430	ENSG00000173614	NMNAT1
chr1	6613731	6613733	ENSG00000116273	PHF13
chr1	3746460	3746462	ENSG00000162592	CCDC27
chr1	7771296	7771298	ENSG00000049245	VAMP3
chr1	11479166	11479168	ENSG00000204624	DISP3
chr1	11736084	11736086	ENSG00000177674	AGTRAP
chr1	1280436	1280438	ENSG00000162572	SCNN1D
chr1	9651731	9651733	ENSG00000171608	PIK3CD
chr1	15152566	15152568	ENSG00000171729	TMEM51
chr1	1173880	1173882	ENSG00000162571	TTLL10
chr1	3625015	3625017	ENSG00000158109	TPRG1L
chr1	11806191	11806193	ENSG00000011021	CLCN6
chr1	12857086	12857088	ENSG00000120952	PRAMEF2
chr1	15456728	15456730	ENSG00000142615	CELA2A
chr1	15465909	15465911	ENSG00000215704	CELA2B
chr1	15836095	15836097	ENSG00000065526	SPEN
chr1	2391828	2391830	ENSG00000157916	RER1
chr1	12230030	12230032	ENSG00000048707	VPS13D
chr1	19664875	19664877	ENSG00000158748	HTR6
chr1	3454665	3454667	ENSG00000130762	ARHGEF16
chr1	9997206	9997208	ENSG00000162444	RBP7
chr1	22428838	22428840	ENSG00000184677	ZBTB40
chr1	19597067	19597069	ENSG00000270136	MICOS10-NBL1
chr1	11654375	11654377	ENSG00000132879	FBXO44
chr1	13700198	13700200	ENSG00000116731	PRDM2
chr1	12791397	12791399	ENSG00000116721	PRAMEF1
chr1	9588922	9588924	ENSG00000188807	TMEM201
chr1	3652516	3652518	ENSG00000078900	TP73
chr1	11189355	11189357	ENSG00000171819	ANGPTL7
chr1	7954291	7954293	ENSG00000116288	PARK7
chr1	26410817	26410819	ENSG00000131914	LIN28A
chr1	24745447	24745449	ENSG00000169504	CLIC4
chr1	27392622	27392624	ENSG00000181773	GPR3
chr1	16352575	16352577	ENSG00000055070	SZRD1
chr1	26111173	26111175	ENSG00000175087	PDIK1L
chr1	6785454	6785456	ENSG00000171735	CAMTA1
chr1	16440724	16440726	ENSG00000157191	NECAP2
chr1	24631716	24631718	ENSG00000133226	SRRM1
chr1	11766742	11766744	ENSG00000215910	C1orf167
chr1	11664200	11664202	ENSG00000116663	FBXO6
chr1	15659869	15659871	ENSG00000215695	RSC1A1
chr1	26900238	26900240	ENSG00000090273	NUDC
chr1	23956839	23956841	ENSG00000189266	PNRC2
chr1	28369582	28369584	ENSG00000204138	PHACTR4
chr1	26177491	26177493	ENSG00000142675	CNKSR1
chr1	26159079	26159081	ENSG00000197245	FAM110D
chr1	28329002	28329004	ENSG00000130772	MED18
chr1	26826688	26826690	ENSG00000204160	ZDHHC18
chr1	25543606	25543608	ENSG00000157978	LDLRAP1
chr1	28236109	28236111	ENSG00000130770	ATP5IF1
chr1	27234668	27234670	ENSG00000142784	WDTC1
chr1	26432282	26432284	ENSG00000117682	DHDDS
chr1	26863149	26863151	ENSG00000175793	SFN
chr1	28259518	28259520	ENSG00000130766	SESN2
chr1	31409565	31409567	ENSG00000168528	SERINC2
chr1	4654732	4654734	ENSG00000196581	AJAP1
chr1	26529761	26529763	ENSG00000117676	RPS6KA1
chr1	26472450	26472452	ENSG00000198830	HMGN2
chr1	9539465	9539467	ENSG00000171612	SLC25A33
chr1	15756607	15756609	ENSG00000162458	FBLIM1
chr1	34781214	34781216	ENSG00000188910	GJB3
chr1	15526813	15526815	ENSG00000116138	DNAJC16
chr1	27342020	27342022	ENSG00000142765	SYTL1
chr1	26169908	26169910	ENSG00000142684	ZNF593
chr1	26787054	26787056	ENSG00000060642	PIGV
chr1	12746200	12746202	ENSG00000157330	C1orf158
chr1	11691710	11691712	ENSG00000162490	DRAXIN
chr1	13892792	13892794	ENSG00000189337	KAZN
chr1	13254212	13254214	ENSG00000270601	PRAMEF5
chr1	12166991	12166993	ENSG00000028137	TNFRSF1B
chr1	15742499	15742501	ENSG00000162460	TMEM82
chr1	10032832	10032834	ENSG00000130939	UBE4B
chr1	20028179	20028181	ENSG00000127472	PLA2G5
chr1	29236516	29236518	ENSG00000060656	PTPRU
chr1	34755047	34755049	ENSG00000189280	GJB5
chr1	35808016	35808018	ENSG00000134698	AGO4
chr1	37692516	37692518	ENSG00000134690	CDCA8
chr1	32465072	32465074	ENSG00000273274	ZBTB8B
chr1	6205475	6205477	ENSG00000158286	RNF207
chr1	18630846	18630848	ENSG00000009709	PAX7
chr1	12716115	12716117	ENSG00000188984	AADACL3
chr1	26019884	26019886	ENSG00000158008	EXTL1
chr1	37556940	37556942	ENSG00000163879	DNALI1
chr1	40783787	40783789	ENSG00000117013	KCNQ4
chr1	13303539	13303541	ENSG00000237700	PRAMEF33
chr1	26993692	26993694	ENSG00000253368	TRNP1
chr1	15736258	15736260	ENSG00000162461	SLC25A34
chr1	42153410	42153412	ENSG00000044012	GUCA2B
chr1	19251805	19251807	ENSG00000053372	MRTO4
chr1	40691648	40691650	ENSG00000066136	NFYC
chr1	15617458	15617460	ENSG00000197312	DDI2
chr1	46303698	46303700	ENSG00000173660	UQCRH
chr1	35869808	35869810	ENSG00000092847	AGO1
chr1	12917625	12917627	ENSG00000204510	PRAMEF7
chr1	36224443	36224445	ENSG00000054118	THRAP3
chr1	32465057	32465059	ENSG00000254553	
chr1	42380795	42380797	ENSG00000177181	RIMKLA
chr1	17372196	17372198	ENSG00000276747	PADI6
chr1	17308195	17308197	ENSG00000159339	PADI4
chr1	37806979	37806981	ENSG00000197982	C1orf122
chr1	43145153	43145155	ENSG00000186973	FAM183A
