chr	start	end	gene	sym	eig	compartment
chr1	1471765	1471767	ENSG00000160072	ATAD3B	0.691352577201274	A
chr1	6624866	6624868	ENSG00000041988	THAP3	0.655852506987366	A
chr1	3069168	3069170	ENSG00000142611	PRDM16	0.384180823991515	A
chr1	2050411	2050413	ENSG00000067606	PRKCZ	0.769720197063792	A
chr1	1308597	1308599	ENSG00000169972	PUSL1	0.549460608026253	A
chr1	1324756	1324758	ENSG00000224051	CPTP	0.549460608026253	A
chr1	2228319	2228321	ENSG00000157933	SKI	0.759138746279899	A
chr1	1331280	1331282	ENSG00000169962	TAS1R3	0.549460608026253	A
chr1	10472288	10472290	ENSG00000142655	PEX14	0.507125223272589	A
chr1	2425980	2425982	ENSG00000149527	PLCH2	0.473131905356683	A
chr1	9292894	9292896	ENSG00000171621	SPSB1	0.479661069100715	A
chr1	6424776	6424778	ENSG00000187017	ESPN	0.631879318361818	A
chr1	6244179	6244181	ENSG00000173673	HES3	0.602757874751758	A
chr1	5990927	5990929	ENSG00000069424	KCNAB2	0.275873576201564	A
chr1	15684320	15684322	ENSG00000116786	PLEKHM2	0.652191658831841	A
chr1	1232237	1232239	ENSG00000176022	B3GALT6	0.50866250697803	A
chr1	8945867	8945869	ENSG00000131686	CA6	0.557291355383125	A
chr1	9943428	9943430	ENSG00000173614	NMNAT1	0.589375215956004	A
chr1	6613731	6613733	ENSG00000116273	PHF13	0.655852506987366	A
chr1	3746460	3746462	ENSG00000162592	CCDC27	0.580961326809031	A
chr1	7771296	7771298	ENSG00000049245	VAMP3	0.648698210732883	A
chr1	11479166	11479168	ENSG00000204624	DISP3	0.645383425266007	A
chr1	11736084	11736086	ENSG00000177674	AGTRAP	0.672122877483252	A
chr1	1280436	1280438	ENSG00000162572	SCNN1D	0.50866250697803	A
chr1	9651731	9651733	ENSG00000171608	PIK3CD	0.591338417139094	A
chr1	15152566	15152568	ENSG00000171729	TMEM51	0.453890436156094	A
chr1	1173880	1173882	ENSG00000162571	TTLL10	0.590723335909597	A
chr1	3625015	3625017	ENSG00000158109	TPRG1L	0.644797400613629	A
chr1	11806191	11806193	ENSG00000011021	CLCN6	0.670062232201216	A
chr1	12857086	12857088	ENSG00000120952	PRAMEF2	0.0881473631824548	A
chr1	15456728	15456730	ENSG00000142615	CELA2A	0.541772021210976	A
chr1	15465909	15465911	ENSG00000215704	CELA2B	0.541772021210976	A
chr1	15836095	15836097	ENSG00000065526	SPEN	0.571004177221136	A
chr1	2391828	2391830	ENSG00000157916	RER1	0.514269994995459	A
chr1	12230030	12230032	ENSG00000048707	VPS13D	0.503169978344787	A
chr1	19664875	19664877	ENSG00000158748	HTR6	0.500438532542076	A
chr1	3454665	3454667	ENSG00000130762	ARHGEF16	0.441458050058408	A
chr1	9997206	9997208	ENSG00000162444	RBP7	0.589375215956004	A
chr1	22428838	22428840	ENSG00000184677	ZBTB40	0.42647112007506	A
chr1	19597067	19597069	ENSG00000270136	MICOS10-NBL1	0.626737042419909	A
chr1	11654375	11654377	ENSG00000132879	FBXO44	0.512947640815617	A
chr1	13700198	13700200	ENSG00000116731	PRDM2	0.451389960004477	A
chr1	12791397	12791399	ENSG00000116721	PRAMEF1	0.185397771747303	A
chr1	9588922	9588924	ENSG00000188807	TMEM201	0.492861632765291	A
chr1	3652516	3652518	ENSG00000078900	TP73	0.644797400613629	A
chr1	11189355	11189357	ENSG00000171819	ANGPTL7	0.585429571267717	A
chr1	7954291	7954293	ENSG00000116288	PARK7	0.516588778357313	A
chr1	26410817	26410819	ENSG00000131914	LIN28A	0.602464471575527	A
chr1	24745447	24745449	ENSG00000169504	CLIC4	0.519279731716321	A
chr1	27392622	27392624	ENSG00000181773	GPR3	0.521676199417015	A
chr1	16352575	16352577	ENSG00000055070	SZRD1	0.688329708617695	A
chr1	26111173	26111175	ENSG00000175087	PDIK1L	0.631927449493534	A
chr1	6785454	6785456	ENSG00000171735	CAMTA1	0.578299059439297	A
chr1	16440724	16440726	ENSG00000157191	NECAP2	0.761981547721813	A
chr1	24631716	24631718	ENSG00000133226	SRRM1	0.509108445067037	A
chr1	11766742	11766744	ENSG00000215910	C1orf167	0.672122877483252	A
chr1	11664200	11664202	ENSG00000116663	FBXO6	0.512947640815617	A
chr1	15659869	15659871	ENSG00000215695	RSC1A1	0.652191658831841	A
chr1	26900238	26900240	ENSG00000090273	NUDC	0.559763705630416	A
chr1	23956839	23956841	ENSG00000189266	PNRC2	0.578128999888892	A
chr1	28369582	28369584	ENSG00000204138	PHACTR4	0.540400051012217	A
chr1	26177491	26177493	ENSG00000142675	CNKSR1	0.631927449493534	A
chr1	26159079	26159081	ENSG00000197245	FAM110D	0.631927449493534	A
chr1	28329002	28329004	ENSG00000130772	MED18	0.540400051012217	A
chr1	26826688	26826690	ENSG00000204160	ZDHHC18	0.584626080972663	A
chr1	25543606	25543608	ENSG00000157978	LDLRAP1	0.519310897699908	A
chr1	28236109	28236111	ENSG00000130770	ATP5IF1	0.47252475052272	A
chr1	27234668	27234670	ENSG00000142784	WDTC1	0.59777704979256	A
chr1	26432282	26432284	ENSG00000117682	DHDDS	0.602464471575527	A
chr1	26863149	26863151	ENSG00000175793	SFN	0.584626080972663	A
chr1	28259518	28259520	ENSG00000130766	SESN2	0.47252475052272	A
chr1	31409565	31409567	ENSG00000168528	SERINC2	0.426615106366375	A
chr1	4654732	4654734	ENSG00000196581	AJAP1	-0.446903201281137	B
chr1	26529761	26529763	ENSG00000117676	RPS6KA1	0.621331401159002	A
chr1	26472450	26472452	ENSG00000198830	HMGN2	0.602464471575527	A
chr1	9539465	9539467	ENSG00000171612	SLC25A33	0.492861632765291	A
chr1	15756607	15756609	ENSG00000162458	FBLIM1	0.539211875291226	A
