BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chrX	8820000	8825000	chrX	8875000	8880000	0.0363971724378714	2.11121265723663
chrX	9345000	9350000	chrX	9455000	9460000	0.0711215007149427	3.2
chrX	9465000	9470000	chrX	9535000	9540000	0.0722911091257118	2.59920766833995
chrX	9880000	9885000	chrX	10115000	10120000	0.000415729956716534	2.59920766833995
chrX	9995000	10000000	chrX	10115000	10120000	1.01019228848642e-06	2.11121265723663
chrX	10190000	10195000	chrX	10325000	10330000	0.00334136965348719	2.11121265723663
chrX	10190000	10195000	chrX	11135000	11140000	0.000396327165999188	2.11121265723663
chrX	11530000	11535000	chrX	11770000	11775000	2.2649964387389e-06	2.11121265723663
chrX	12815000	12820000	chrX	12895000	12900000	1.69247583947651e-07	2.11121265723663
chrX	13505000	13510000	chrX	13640000	13645000	6.32231261614079e-05	2.11121265723663
chrX	13655000	13660000	chrX	13740000	13745000	0.0218173323314873	2.11121265723663
chrX	15345000	15350000	chrX	15465000	15470000	0.00221098556865089	2.59920766833995
chrX	15490000	15495000	chrX	15670000	15675000	0.0852046773565653	2.11121265723663
chrX	15495000	15500000	chrX	15645000	15650000	0.0708222321562243	2.11121265723663
chrX	15570000	15575000	chrX	15645000	15650000	0.00334136965348719	2.11121265723663
chrX	16880000	16885000	chrX	17045000	17050000	0.00101233733318551	2.11121265723663
chrX	17535000	17540000	chrX	17685000	17690000	0.00430953842099058	2.11121265723663
chrX	17695000	17700000	chrX	17750000	17755000	0.00699873152507686	2.11121265723663
chrX	18400000	18405000	chrX	18675000	18680000	0.0118405858983048	3.2
chrX	18395000	18400000	chrX	18885000	18890000	0.0014268729449765	2.11121265723663
chrX	19015000	19020000	chrX	19325000	19330000	0.000878295911848126	2.11121265723663
chrX	19375000	19380000	chrX	19525000	19530000	0.00458394055010337	3.67583473599051
chrX	19545000	19550000	chrX	19885000	19890000	0.00478649780789656	2.11121265723663
chrX	19740000	19745000	chrX	19885000	19890000	0.0014268729449765	2.11121265723663
chrX	19900000	19905000	chrX	20120000	20125000	0.0749240810401084	3.2
chrX	19905000	19910000	chrX	20065000	20070000	0.00420901908273512	2.59920766833995
chrX	20255000	20260000	chrX	20435000	20440000	7.64579032536498e-05	2.11121265723663
chrX	20265000	20270000	chrX	20360000	20365000	0.000450534209607917	2.59920766833995
chrX	20265000	20270000	chrX	20475000	20480000	0.00182069045212247	2.11121265723663
chrX	20365000	20370000	chrX	20475000	20480000	0.0495905462793036	2.11121265723663
chrX	20375000	20380000	chrX	20435000	20440000	0.0211587728077722	2.11121265723663
chrX	22080000	22085000	chrX	22190000	22195000	0.00768968125812655	2.11121265723663
chrX	23695000	23700000	chrX	23900000	23905000	2.68703406636206e-06	2.11121265723663
chrX	23750000	23755000	chrX	23900000	23905000	1.62104479408121e-05	2.11121265723663
chrX	24070000	24075000	chrX	24205000	24210000	0.00990652280004482	2.11121265723663
chrX	24075000	24080000	chrX	24240000	24245000	0.0684726523432632	2.11121265723663
