chr	start	end	gene	sym	eig	compartment
chr1	1471765	1471767	ENSG00000160072	ATAD3B	0.881831330599651	A
chr1	6624866	6624868	ENSG00000041988	THAP3	0.716978779067113	A
chr1	3069168	3069170	ENSG00000142611	PRDM16	-0.231142008156805	B
chr1	2050411	2050413	ENSG00000067606	PRKCZ	0.805843689752118	A
chr1	1308597	1308599	ENSG00000169972	PUSL1	0.767454686263414	A
chr1	1324756	1324758	ENSG00000224051	CPTP	0.767454686263414	A
chr1	2228319	2228321	ENSG00000157933	SKI	0.625203866876104	A
chr1	1331280	1331282	ENSG00000169962	TAS1R3	0.767454686263414	A
chr1	10472288	10472290	ENSG00000142655	PEX14	0.576448625628752	A
chr1	2425980	2425982	ENSG00000149527	PLCH2	0.294380427358393	A
chr1	9292894	9292896	ENSG00000171621	SPSB1	0.635174001691683	A
chr1	6424776	6424778	ENSG00000187017	ESPN	0.634750802446056	A
chr1	6244179	6244181	ENSG00000173673	HES3	0.416928234195497	A
chr1	5990927	5990929	ENSG00000069424	KCNAB2	-0.437460977182559	B
chr1	15684320	15684322	ENSG00000116786	PLEKHM2	0.635550884423089	A
chr1	1232237	1232239	ENSG00000176022	B3GALT6	0.69263885984743	A
chr1	8945867	8945869	ENSG00000131686	CA6	0.645841571387877	A
chr1	9943428	9943430	ENSG00000173614	NMNAT1	0.574777709959919	A
chr1	6613731	6613733	ENSG00000116273	PHF13	0.716978779067113	A
chr1	3746460	3746462	ENSG00000162592	CCDC27	-0.0345869146152	B
chr1	7771296	7771298	ENSG00000049245	VAMP3	0.624169574872253	A
chr1	11479166	11479168	ENSG00000204624	DISP3	0.26432878072367	A
chr1	11736084	11736086	ENSG00000177674	AGTRAP	0.570702541165911	A
chr1	1280436	1280438	ENSG00000162572	SCNN1D	0.69263885984743	A
chr1	9651731	9651733	ENSG00000171608	PIK3CD	0.663567481651749	A
chr1	15152566	15152568	ENSG00000171729	TMEM51	-0.0862598495567911	B
chr1	1173880	1173882	ENSG00000162571	TTLL10	0.742107723642334	A
chr1	3625015	3625017	ENSG00000158109	TPRG1L	0.0986879654167586	A
chr1	11806191	11806193	ENSG00000011021	CLCN6	0.590038713090795	A
chr1	12857086	12857088	ENSG00000120952	PRAMEF2	-1.46490896356692	B
chr1	15456728	15456730	ENSG00000142615	CELA2A	0.189414294677987	A
chr1	15465909	15465911	ENSG00000215704	CELA2B	0.189414294677987	A
chr1	15836095	15836097	ENSG00000065526	SPEN	0.645615715251847	A
chr1	2391828	2391830	ENSG00000157916	RER1	0.516988452111743	A
chr1	12230030	12230032	ENSG00000048707	VPS13D	-0.0427466936247037	B
chr1	19664875	19664877	ENSG00000158748	HTR6	0.480464751610456	A
chr1	3454665	3454667	ENSG00000130762	ARHGEF16	0.0308818322421267	A
chr1	9997206	9997208	ENSG00000162444	RBP7	0.574777709959919	A
chr1	22428838	22428840	ENSG00000184677	ZBTB40	0.503860789646594	A
chr1	19597067	19597069	ENSG00000270136	MICOS10-NBL1	0.564680848310083	A
chr1	11654375	11654377	ENSG00000132879	FBXO44	0.458515880838509	A
chr1	13700198	13700200	ENSG00000116731	PRDM2	-0.886324233454052	B
chr1	12791397	12791399	ENSG00000116721	PRAMEF1	-1.38729139179301	B
chr1	9588922	9588924	ENSG00000188807	TMEM201	0.685174290460371	A
chr1	3652516	3652518	ENSG00000078900	TP73	0.0986879654167586	A
chr1	11189355	11189357	ENSG00000171819	ANGPTL7	0.576433883908773	A
chr1	7954291	7954293	ENSG00000116288	PARK7	0.562599593362771	A
chr1	26410817	26410819	ENSG00000131914	LIN28A	0.662691997369169	A
chr1	24745447	24745449	ENSG00000169504	CLIC4	0.459541917124272	A
chr1	27392622	27392624	ENSG00000181773	GPR3	0.590676497142336	A
chr1	16352575	16352577	ENSG00000055070	SZRD1	0.814412132452451	A
chr1	26111173	26111175	ENSG00000175087	PDIK1L	0.59954078455602	A
chr1	6785454	6785456	ENSG00000171735	CAMTA1	0.604602973462328	A
chr1	16440724	16440726	ENSG00000157191	NECAP2	0.807366255400622	A
chr1	24631716	24631718	ENSG00000133226	SRRM1	0.523985839723347	A
