BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chrX	3650000	3655000	chrX	3710000	3715000	0.097438109972394	2.11121265723663
chrX	3650000	3655000	chrX	3810000	3815000	2.45173228365925e-05	2.59920766833995
chrX	3710000	3715000	chrX	3810000	3815000	0.00216617210620589	2.11121265723663
chrX	8745000	8750000	chrX	8810000	8815000	9.54261551281421e-05	2.11121265723663
chrX	9345000	9350000	chrX	9460000	9465000	0.0744539471507142	2.11121265723663
chrX	9460000	9465000	chrX	9705000	9710000	0.0161808795758614	3.2
chrX	9465000	9470000	chrX	9675000	9680000	0.0643626095473135	2.11121265723663
chrX	9885000	9890000	chrX	9975000	9980000	0.000717920883997284	4.22242531447326
chrX	26785000	26790000	chrX	27185000	27190000	6.74844084626829e-05	2.59920766833995
chrX	26845000	26850000	chrX	26915000	26920000	0.0908442524506673	2.59920766833995
chrX	30140000	30145000	chrX	30500000	30505000	1.39153418676763e-07	2.11121265723663
chrX	30275000	30280000	chrX	30500000	30505000	0.00027126170171315	2.11121265723663
chrX	30510000	30515000	chrX	30615000	30620000	0.0398022690234441	2.11121265723663
chrX	30570000	30575000	chrX	30710000	30715000	0.00128308098968963	2.11121265723663
chrX	30740000	30745000	chrX	30820000	30825000	0.0146453946751586	2.11121265723663
chrX	31030000	31035000	chrX	31295000	31300000	2.14572589167054e-06	2.59920766833995
chrX	31035000	31040000	chrX	31420000	31425000	0.00570370338060824	2.11121265723663
chrX	31035000	31040000	chrX	31210000	31215000	1.69285323137203e-05	2.11121265723663
chrX	31210000	31215000	chrX	31285000	31290000	0.00155708782026613	2.11121265723663
chrX	31210000	31215000	chrX	31420000	31425000	0.00070083592571021	2.11121265723663
chrX	32530000	32535000	chrX	32665000	32670000	0.0908442524506673	3.67583473599051
chrX	9880000	9885000	chrX	10120000	10125000	2.09340796362217e-05	2.11121265723663
chrX	9995000	10000000	chrX	10115000	10120000	4.87410662664001e-08	2.59920766833995
chrX	10010000	10015000	chrX	10065000	10070000	0.038351324701554	3.2
chrX	10060000	10065000	chrX	10115000	10120000	0.0891861340634764	2.11121265723663
chrX	10190000	10195000	chrX	10720000	10725000	2.39989555650792e-05	2.59920766833995
chrX	10185000	10190000	chrX	11130000	11135000	6.61355171385055e-05	2.11121265723663
chrX	10190000	10195000	chrX	10325000	10330000	0.00811293466110687	2.11121265723663
chrX	10190000	10195000	chrX	10610000	10615000	1.84969829225556e-06	2.59920766833995
chrX	10190000	10195000	chrX	10760000	10765000	0.00225639211521064	2.11121265723663
chrX	11145000	11150000	chrX	11370000	11375000	0.0622849007736559	3.2
chrX	11145000	11150000	chrX	11440000	11445000	0.0274491324091411	2.59920766833995
chrX	11145000	11150000	chrX	11525000	11530000	6.30386134241323e-06	2.11121265723663
chrX	11150000	11155000	chrX	11485000	11490000	0.0938130686220485	2.59920766833995
chrX	11380000	11385000	chrX	11525000	11530000	0.0338853330506647	2.11121265723663
chrX	11535000	11540000	chrX	11720000	11725000	1.93247767404814e-05	2.11121265723663
chrX	11535000	11540000	chrX	11765000	11770000	3.25441773529889e-09	2.11121265723663
chrX	11535000	11540000	chrX	11910000	11915000	0.00128395400569277	3.2
chrX	11780000	11785000	chrX	11900000	11905000	0.00223008247073475	2.59920766833995
chrX	12075000	12080000	chrX	12700000	12705000	0.000507921236666497	2.59920766833995
chrX	12495000	12500000	chrX	12695000	12700000	0.000284902406189973	2.11121265723663
chrX	12815000	12820000	chrX	12895000	12900000	4.87410662664001e-08	2.11121265723663
chrX	12810000	12815000	chrX	13490000	13495000	0.00736522297894253	3.2
chrX	12905000	12910000	chrX	13490000	13495000	0.000991014060920678	2.59920766833995
chrX	12940000	12945000	chrX	13490000	13495000	1.18894427255814e-06	2.11121265723663
chrX	12945000	12950000	chrX	13255000	13260000	0.00174831717432204	2.11121265723663
chrX	12945000	12950000	chrX	13010000	13015000	0.0241576571575492	2.11121265723663
chrX	12945000	12950000	chrX	13085000	13090000	9.32245023994753e-06	2.11121265723663
chrX	12975000	12980000	chrX	13085000	13090000	1.84969829225556e-06	2.11121265723663
chrX	12985000	12990000	chrX	13485000	13490000	0.000507921236666497	2.59920766833995
chrX	13005000	13010000	chrX	13255000	13260000	0.0226514832222911	2.11121265723663
chrX	13090000	13095000	chrX	13255000	13260000	3.81705002253493e-06	2.11121265723663
chrX	13090000	13095000	chrX	13485000	13490000	4.63925272398136e-07	2.59920766833995
chrX	13125000	13130000	chrX	13480000	13485000	0.0368933960627965	2.11121265723663
chrX	13255000	13260000	chrX	13485000	13490000	6.69017323165488e-07	2.11121265723663
chrX	13505000	13510000	chrX	13645000	13650000	1.18894427255814e-06	2.11121265723663
chrX	13655000	13660000	chrX	13745000	13750000	0.00035981812012132	2.11121265723663
chrX	13655000	13660000	chrX	13850000	13855000	0.0479059891496866	2.11121265723663
chrX	13655000	13660000	chrX	14030000	14035000	8.92578304201308e-07	2.11121265723663
chrX	13695000	13700000	chrX	14030000	14035000	0.00416560828862256	2.11121265723663
chrX	13745000	13750000	chrX	14030000	14035000	5.11662111235545e-07	2.11121265723663
chrX	13750000	13755000	chrX	13850000	13855000	0.0545626223976377	2.11121265723663
chrX	13855000	13860000	chrX	14025000	14030000	0.050147252155466	2.11121265723663
chrX	13895000	13900000	chrX	14030000	14035000	8.29657296050377e-05	2.11121265723663
chrX	15140000	15145000	chrX	15240000	15245000	0.000869926547871781	2.11121265723663
chrX	15300000	15305000	chrX	15465000	15470000	0.0115078073890273	2.11121265723663
chrX	15345000	15350000	chrX	15465000	15470000	5.61424580920138e-07	2.11121265723663
chrX	15345000	15350000	chrX	15560000	15565000	0.0266781870211686	2.59920766833995
chrX	15350000	15355000	chrX	15650000	15655000	0.0968604728234194	2.11121265723663
chrX	15490000	15495000	chrX	15650000	15655000	0.000838962582802497	3.2
chrX	15500000	15505000	chrX	15565000	15570000	0.0775409294659927	3.67583473599051
chrX	15760000	15765000	chrX	16125000	16130000	0.0277105590189985	3.2
chrX	15760000	15765000	chrX	15970000	15975000	0.0336138043089577	2.11121265723663
chrX	15845000	15850000	chrX	15970000	15975000	0.0547056541404722	2.11121265723663
chrX	15850000	15855000	chrX	15910000	15915000	0.0263015923627689	2.11121265723663
chrX	15850000	15855000	chrX	16125000	16130000	0.020650533815707	2.11121265723663
chrX	15930000	15935000	chrX	16125000	16130000	0.038351324701554	3.2
chrX	15925000	15930000	chrX	16440000	16445000	0.000646028098648365	2.59920766833995
chrX	15930000	15935000	chrX	16210000	16215000	0.00113461940483908	2.11121265723663
chrX	16025000	16030000	chrX	16110000	16115000	0.0858424706295004	2.11121265723663
chrX	16435000	16440000	chrX	16690000	16695000	0.001979052097941	2.11121265723663
chrX	16720000	16725000	chrX	16785000	16790000	0.0673730821740016	2.11121265723663
chrX	16825000	16830000	chrX	16890000	16895000	0.0918342214811405	2.11121265723663
chrX	16830000	16835000	chrX	17040000	17045000	0.00239971886531611	2.11121265723663
chrX	16880000	16885000	chrX	17045000	17050000	9.07569862956814e-07	2.11121265723663
chrX	17000000	17005000	chrX	17040000	17045000	0.0411581261009911	2.59920766833995
chrX	17240000	17245000	chrX	17590000	17595000	1.01818786022322e-05	2.11121265723663
chrX	17240000	17245000	chrX	17685000	17690000	0.00578661190009454	3.2
chrX	17250000	17255000	chrX	17470000	17475000	0.0636459317900255	2.11121265723663
chrX	17370000	17375000	chrX	17550000	17555000	0.0722770276178945	2.11121265723663
chrX	17530000	17535000	chrX	17590000	17595000	0.000686000097061551	2.11121265723663
chrX	17535000	17540000	chrX	17690000	17695000	0.000654894483024744	2.11121265723663
chrX	17590000	17595000	chrX	17685000	17690000	0.00960814751595501	2.11121265723663
chrX	17795000	17800000	chrX	18370000	18375000	0.0430970627171087	3.67583473599051
chrX	17945000	17950000	chrX	18375000	18380000	0.000646158247418911	2.11121265723663
chrX	18395000	18400000	chrX	18895000	18900000	9.9723117078351e-06	2.59920766833995
chrX	18390000	18395000	chrX	18925000	18930000	0.0014877781254363	2.11121265723663
chrX	18395000	18400000	chrX	19010000	19015000	0.000484896984726919	3.2
chrX	18390000	18395000	chrX	19330000	19335000	1.98761445820613e-06	2.59920766833995
chrX	18420000	18425000	chrX	18890000	18895000	0.0325317426855119	2.11121265723663
chrX	18675000	18680000	chrX	18885000	18890000	0.000618626061241816	2.11121265723663
chrX	18680000	18685000	chrX	18850000	18855000	0.0159292647003895	2.11121265723663
chrX	18935000	18940000	chrX	19330000	19335000	0.000115400248043778	2.11121265723663
chrX	19030000	19035000	chrX	19325000	19330000	8.63666816013182e-06	3.67583473599051
chrX	19040000	19045000	chrX	19225000	19230000	0.008941179725634	2.11121265723663
chrX	19370000	19375000	chrX	20065000	20070000	0.000573039090495188	2.11121265723663
chrX	19375000	19380000	chrX	19525000	19530000	0.00424332634799933	2.59920766833995
chrX	19545000	19550000	chrX	20060000	20065000	0.00803737525200481	2.11121265723663
chrX	19590000	19595000	chrX	20060000	20065000	0.0763039363718221	2.11121265723663
chrX	19740000	19745000	chrX	19845000	19850000	0.022783354551296	2.11121265723663
