chr	start	end	gene	sym	eig	compartment
chr1	1471765	1471767	ENSG00000160072	ATAD3B	0.99449580101377	A
chr1	6624866	6624868	ENSG00000041988	THAP3	0.847235004374699	A
chr1	3069168	3069170	ENSG00000142611	PRDM16	-0.145907276519209	B
chr1	2050411	2050413	ENSG00000067606	PRKCZ	0.495704372453308	A
chr1	1308597	1308599	ENSG00000169972	PUSL1	0.78084060829494	A
chr1	1324756	1324758	ENSG00000224051	CPTP	0.78084060829494	A
chr1	2228319	2228321	ENSG00000157933	SKI	0.614174645957858	A
chr1	1331280	1331282	ENSG00000169962	TAS1R3	0.78084060829494	A
chr1	10472288	10472290	ENSG00000142655	PEX14	0.636118983146456	A
chr1	2425980	2425982	ENSG00000149527	PLCH2	0.352010413914233	A
chr1	9292894	9292896	ENSG00000171621	SPSB1	0.69803451981948	A
chr1	6424776	6424778	ENSG00000187017	ESPN	0.769962836998092	A
chr1	6244179	6244181	ENSG00000173673	HES3	0.764519166902502	A
chr1	5990927	5990929	ENSG00000069424	KCNAB2	0.133722158373393	A
chr1	15684320	15684322	ENSG00000116786	PLEKHM2	0.835257475654395	A
chr1	1232237	1232239	ENSG00000176022	B3GALT6	0.758964499748823	A
chr1	8945867	8945869	ENSG00000131686	CA6	0.765663607677511	A
chr1	9943428	9943430	ENSG00000173614	NMNAT1	0.646665418882107	A
chr1	6613731	6613733	ENSG00000116273	PHF13	0.847235004374699	A
chr1	3746460	3746462	ENSG00000162592	CCDC27	0.413942209746168	A
chr1	7771296	7771298	ENSG00000049245	VAMP3	0.486163626642492	A
chr1	11479166	11479168	ENSG00000204624	DISP3	0.55017323191672	A
chr1	11736084	11736086	ENSG00000177674	AGTRAP	0.811761211472143	A
chr1	1280436	1280438	ENSG00000162572	SCNN1D	0.758964499748823	A
chr1	9651731	9651733	ENSG00000171608	PIK3CD	0.798716124266541	A
chr1	15152566	15152568	ENSG00000171729	TMEM51	0.449274297506753	A
chr1	1173880	1173882	ENSG00000162571	TTLL10	0.88186073580155	A
chr1	3625015	3625017	ENSG00000158109	TPRG1L	0.625073396681938	A
chr1	11806191	11806193	ENSG00000011021	CLCN6	0.826760487085079	A
chr1	12857086	12857088	ENSG00000120952	PRAMEF2	-0.295612497646521	B
chr1	15456728	15456730	ENSG00000142615	CELA2A	0.638887011508335	A
chr1	15465909	15465911	ENSG00000215704	CELA2B	0.638887011508335	A
chr1	15836095	15836097	ENSG00000065526	SPEN	0.73258946304945	A
chr1	2391828	2391830	ENSG00000157916	RER1	0.506826269373864	A
chr1	12230030	12230032	ENSG00000048707	VPS13D	0.655313076645886	A
chr1	19664875	19664877	ENSG00000158748	HTR6	0.553287589013323	A
chr1	3454665	3454667	ENSG00000130762	ARHGEF16	0.164288270578678	A
chr1	9997206	9997208	ENSG00000162444	RBP7	0.646665418882107	A
chr1	22428838	22428840	ENSG00000184677	ZBTB40	0.531644419905618	A
chr1	19597067	19597069	ENSG00000270136	MICOS10-NBL1	0.478903638936808	A
chr1	11654375	11654377	ENSG00000132879	FBXO44	0.652053883340183	A
chr1	13700198	13700200	ENSG00000116731	PRDM2	0.385721012419173	A
chr1	12791397	12791399	ENSG00000116721	PRAMEF1	-0.132735261793687	B
chr1	9588922	9588924	ENSG00000188807	TMEM201	0.665955012993614	A
chr1	3652516	3652518	ENSG00000078900	TP73	0.625073396681938	A
chr1	11189355	11189357	ENSG00000171819	ANGPTL7	0.721320473728727	A
chr1	7954291	7954293	ENSG00000116288	PARK7	0.610740561874505	A
chr1	26410817	26410819	ENSG00000131914	LIN28A	0.738295913239024	A
chr1	24745447	24745449	ENSG00000169504	CLIC4	0.540978819681997	A
chr1	27392622	27392624	ENSG00000181773	GPR3	0.613630261883605	A
chr1	16352575	16352577	ENSG00000055070	SZRD1	0.832632029441136	A
chr1	26111173	26111175	ENSG00000175087	PDIK1L	0.70898015777401	A
chr1	6785454	6785456	ENSG00000171735	CAMTA1	0.661051591678701	A
chr1	16440724	16440726	ENSG00000157191	NECAP2	0.830546622172647	A
chr1	24631716	24631718	ENSG00000133226	SRRM1	0.491466642692469	A
chr1	11766742	11766744	ENSG00000215910	C1orf167	0.811761211472143	A
chr1	11664200	11664202	ENSG00000116663	FBXO6	0.652053883340183	A
chr1	15659869	15659871	ENSG00000215695	RSC1A1	0.835257475654395	A
chr1	26900238	26900240	ENSG00000090273	NUDC	0.762922947280515	A
chr1	23956839	23956841	ENSG00000189266	PNRC2	0.648090373779531	A
chr1	28369582	28369584	ENSG00000204138	PHACTR4	0.645858789031854	A
chr1	26177491	26177493	ENSG00000142675	CNKSR1	0.70898015777401	A
chr1	26159079	26159081	ENSG00000197245	FAM110D	0.70898015777401	A
chr1	28329002	28329004	ENSG00000130772	MED18	0.645858789031854	A
chr1	26826688	26826690	ENSG00000204160	ZDHHC18	0.671335926471029	A
chr1	25543606	25543608	ENSG00000157978	LDLRAP1	0.597055080190447	A
chr1	28236109	28236111	ENSG00000130770	ATP5IF1	0.646580372078447	A
chr1	27234668	27234670	ENSG00000142784	WDTC1	0.628477997827119	A
chr1	26432282	26432284	ENSG00000117682	DHDDS	0.738295913239024	A
chr1	26863149	26863151	ENSG00000175793	SFN	0.671335926471029	A
chr1	28259518	28259520	ENSG00000130766	SESN2	0.646580372078447	A
chr1	31409565	31409567	ENSG00000168528	SERINC2	0.585770544737166	A
chr1	4654732	4654734	ENSG00000196581	AJAP1	-0.401644723551315	B
chr1	26529761	26529763	ENSG00000117676	RPS6KA1	0.740775753801878	A
chr1	26472450	26472452	ENSG00000198830	HMGN2	0.738295913239024	A
chr1	9539465	9539467	ENSG00000171612	SLC25A33	0.665955012993614	A
chr1	15756607	15756609	ENSG00000162458	FBLIM1	0.686478331799953	A
chr1	34781214	34781216	ENSG00000188910	GJB3	0.0955948392470123	A
chr1	15526813	15526815	ENSG00000116138	DNAJC16	0.888333970956523	A
chr1	27342020	27342022	ENSG00000142765	SYTL1	0.613630261883605	A
chr1	26169908	26169910	ENSG00000142684	ZNF593	0.70898015777401	A
chr1	26787054	26787056	ENSG00000060642	PIGV	0.755779583756052	A
chr1	12746200	12746202	ENSG00000157330	C1orf158	-0.132735261793687	B
chr1	11691710	11691712	ENSG00000162490	DRAXIN	0.652053883340183	A
chr1	13892792	13892794	ENSG00000189337	KAZN	-0.144573092607624	B
chr1	13254212	13254214	ENSG00000270601	PRAMEF5	NA	NA
chr1	12166991	12166993	ENSG00000028137	TNFRSF1B	0.899049727744158	A
chr1	15742499	15742501	ENSG00000162460	TMEM82	0.686478331799953	A
chr1	10032832	10032834	ENSG00000130939	UBE4B	0.701773698336661	A
chr1	20028179	20028181	ENSG00000127472	PLA2G5	0.530989514035744	A
chr1	29236516	29236518	ENSG00000060656	PTPRU	0.400094742330241	A
chr1	34755047	34755049	ENSG00000189280	GJB5	0.0955948392470123	A
chr1	35808016	35808018	ENSG00000134698	AGO4	0.697731905657	A
chr1	37692516	37692518	ENSG00000134690	CDCA8	0.643524319154499	A
chr1	32465072	32465074	ENSG00000273274	ZBTB8B	0.605650171084514	A
chr1	6205475	6205477	ENSG00000158286	RNF207	0.764519166902502	A
chr1	18630846	18630848	ENSG00000009709	PAX7	0.28091190502589	A
chr1	12716115	12716117	ENSG00000188984	AADACL3	-0.132735261793687	B
chr1	26019884	26019886	ENSG00000158008	EXTL1	0.658140302337592	A
chr1	37556940	37556942	ENSG00000163879	DNALI1	0.696400034688287	A
chr1	40783787	40783789	ENSG00000117013	KCNQ4	0.800251841808459	A
chr1	13303539	13303541	ENSG00000237700	PRAMEF33	-0.336619747883003	B
chr1	26993692	26993694	ENSG00000253368	TRNP1	0.762922947280515	A
chr1	15736258	15736260	ENSG00000162461	SLC25A34	0.686478331799953	A
chr1	42153410	42153412	ENSG00000044012	GUCA2B	0.386696662953479	A
chr1	19251805	19251807	ENSG00000053372	MRTO4	0.763523927823757	A
chr1	40691648	40691650	ENSG00000066136	NFYC	0.65306148235795	A
chr1	15617458	15617460	ENSG00000197312	DDI2	0.835257475654395	A
chr1	46303698	46303700	ENSG00000173660	UQCRH	0.869124314787929	A
chr1	35869808	35869810	ENSG00000092847	AGO1	0.697731905657	A
chr1	12917625	12917627	ENSG00000204510	PRAMEF7	NA	NA
chr1	36224443	36224445	ENSG00000054118	THRAP3	0.749574397099233	A
chr1	32465057	32465059	ENSG00000254553		0.605650171084514	A
chr1	42380795	42380797	ENSG00000177181	RIMKLA	0.506943843113295	A
chr1	17372196	17372198	ENSG00000276747	PADI6	0.447805419343761	A
chr1	17308195	17308197	ENSG00000159339	PADI4	0.447805419343761	A
chr1	37806979	37806981	ENSG00000197982	C1orf122	0.617766055848831	A
chr1	43145153	43145155	ENSG00000186973	FAM183A	0.552732575177376	A
chr1	34166883	34166885	ENSG00000142698	C1orf94	-0.182744522521881	B
chr1	35268709	35268711	ENSG00000146463	ZMYM4	0.572867029487248	A
chr1	38009258	38009260	ENSG00000183520	UTP11	0.511205312530334	A
chr1	17755333	17755335	ENSG00000117148	ACTL8	0.172266039595454	A
chr1	42456117	42456119	ENSG00000127125	PPCS	0.514586431713755	A
chr1	40161387	40161389	ENSG00000117000	RLF	0.63435371368581	A
chr1	43650149	43650151	ENSG00000284989		0.67063595587498	A
chr1	34792999	34793001	ENSG00000187513	GJA4	0.0955948392470123	A
chr1	43300982	43300984	ENSG00000066056	TIE1	0.728207642176958	A
chr1	19484403	19484405	ENSG00000173436	MICOS10	0.717482909260937	A
chr1	41361922	41361924	ENSG00000204060	FOXO6	0.619717354069493	A
chr1	40979688	40979690	ENSG00000171793	CTPS1	0.64126650243524	A
chr1	54980628	54980630	ENSG00000143001	TMEM61	0.357675090027526	A
chr1	42785007	42785009	ENSG00000274386	TMEM269	0.569877596053128	A
chr1	53062213	53062215	ENSG00000174348	PODN	0.651912698625624	A
chr1	51577179	51577181	ENSG00000117859	OSBPL9	0.674077655868813	A
