gene	distance	cell
ENSG00000187634	40618	A549
ENSG00000186827	3834	A549
ENSG00000184163	7414	A549
ENSG00000248333	91	A549
ENSG00000008128	21920	A549
ENSG00000130762	37114	A549
ENSG00000078900	19445	A549
ENSG00000196581	123425	A549
ENSG00000196581	428995	A549
ENSG00000069424	83278	A549
ENSG00000069812	9455	A549
ENSG00000173662	3438	A549
ENSG00000007923	4646	A549
ENSG00000007923	5252	A549
ENSG00000162426	33821	A549
ENSG00000162426	49336	A549
ENSG00000142599	146626	A549
ENSG00000074800	32843	A549
ENSG00000180758	52267	A549
ENSG00000142657	191	A549
ENSG00000130940	51538	A549
ENSG00000175262	39507	A549
ENSG00000120948	13747	A549
ENSG00000204624	79872	A549
ENSG00000116685	17830	A549
ENSG00000048707	22575	A549
ENSG00000048707	159391	A549
ENSG00000162496	58	A549
ENSG00000162496	611	A549
ENSG00000204518	3129	A549
ENSG00000171729	497640	A549
ENSG00000171729	419187	A549
ENSG00000171729	244771	A549
ENSG00000142621	66575	A549
ENSG00000116786	9494	A549
ENSG00000233954	8997	A549
ENSG00000142627	32150	A549
ENSG00000142627	2990	A549
ENSG00000142632	21858	A549
ENSG00000142632	18402	A549
ENSG00000055070	14851	A549
ENSG00000157191	51914	A549
ENSG00000157191	72855	A549
ENSG00000219481	67441	A549
ENSG00000219481	60	A549
ENSG00000219481	31000	A549
ENSG00000219481	53041	A549
ENSG00000058453	61899	A549
ENSG00000058453	311	A549
ENSG00000117122	116086	A549
ENSG00000117122	81721	A549
ENSG00000142619	28787	A549
ENSG00000159339	1413	A549
ENSG00000179051	3783	A549
ENSG00000074964	47304	A549
ENSG00000117154	149636	A549
ENSG00000117154	57779	A549
ENSG00000009709	50923	A549
ENSG00000158786	5255	A549
ENSG00000127483	96433	A549
ENSG00000142794	43150	A549
ENSG00000090686	52387	A549
ENSG00000187942	59013	A549
ENSG00000219073	1926	A549
ENSG00000142789	1601	A549
ENSG00000133216	106523	A549
ENSG00000169641	8048	A549
ENSG00000117318	33033	A549
ENSG00000117305	8783	A549
ENSG00000142677	13533	A549
ENSG00000001461	3203	A549
ENSG00000020633	41939	A549
ENSG00000162430	51267	A549
ENSG00000158006	150	A549
ENSG00000131914	8596	A549
ENSG00000117713	72074	A549
ENSG00000117713	761	A549
ENSG00000117713	2143	A549
ENSG00000175793	1495	A549
ENSG00000158195	52594	A549
ENSG00000130770	3056	A549
ENSG00000130770	5687	A549
ENSG00000130766	545	A549
ENSG00000204138	16822	A549
ENSG00000204138	3467	A549
ENSG00000116329	7832	A549
ENSG00000159023	1882	A549
ENSG00000060656	2649	A549
ENSG00000060656	472765	A549
ENSG00000060656	506748	A549
ENSG00000060656	562610	A549
ENSG00000162510	735329	A549
ENSG00000162510	302689	A549
ENSG00000162511	9306	A549
ENSG00000134644	17576	A549
ENSG00000168528	57138	A549
ENSG00000121764	2138	A549
ENSG00000121753	5385	A549
ENSG00000288678	24707	A549
ENSG00000121775	7201	A549
ENSG00000160055	11783	A549
