chr	start	end	gene	sym	eig	compartment
chr1	1471765	1471767	ENSG00000160072	ATAD3B	0.63320217614035	A
chr1	6624866	6624868	ENSG00000041988	THAP3	0.748514221088257	A
chr1	3069168	3069170	ENSG00000142611	PRDM16	0.401994168751104	A
chr1	2050411	2050413	ENSG00000067606	PRKCZ	0.855816270959021	A
chr1	1308597	1308599	ENSG00000169972	PUSL1	0.500592771965842	A
chr1	1324756	1324758	ENSG00000224051	CPTP	0.500592771965842	A
chr1	2228319	2228321	ENSG00000157933	SKI	0.747627572382771	A
chr1	1331280	1331282	ENSG00000169962	TAS1R3	0.500592771965842	A
chr1	10472288	10472290	ENSG00000142655	PEX14	0.544481695455283	A
chr1	2425980	2425982	ENSG00000149527	PLCH2	0.546142804125043	A
chr1	9292894	9292896	ENSG00000171621	SPSB1	0.509042839247453	A
chr1	6424776	6424778	ENSG00000187017	ESPN	0.645323613816217	A
chr1	6244179	6244181	ENSG00000173673	HES3	0.678668308880739	A
chr1	5990927	5990929	ENSG00000069424	KCNAB2	0.292808675775338	A
chr1	15684320	15684322	ENSG00000116786	PLEKHM2	0.686961694018671	A
chr1	1232237	1232239	ENSG00000176022	B3GALT6	0.525255922774109	A
chr1	8945867	8945869	ENSG00000131686	CA6	0.576859450944877	A
chr1	9943428	9943430	ENSG00000173614	NMNAT1	0.604332946635437	A
chr1	6613731	6613733	ENSG00000116273	PHF13	0.748514221088257	A
chr1	3746460	3746462	ENSG00000162592	CCDC27	0.747566205440533	A
chr1	7771296	7771298	ENSG00000049245	VAMP3	0.656921518507728	A
chr1	11479166	11479168	ENSG00000204624	DISP3	0.672882423536868	A
chr1	11736084	11736086	ENSG00000177674	AGTRAP	0.706526984985147	A
chr1	1280436	1280438	ENSG00000162572	SCNN1D	0.525255922774109	A
chr1	9651731	9651733	ENSG00000171608	PIK3CD	0.68003701148844	A
chr1	15152566	15152568	ENSG00000171729	TMEM51	0.39879859393572	A
chr1	1173880	1173882	ENSG00000162571	TTLL10	0.597816379229115	A
chr1	3625015	3625017	ENSG00000158109	TPRG1L	0.718102468295467	A
chr1	11806191	11806193	ENSG00000011021	CLCN6	0.757147067411583	A
chr1	12857086	12857088	ENSG00000120952	PRAMEF2	0.111629135288673	A
chr1	15456728	15456730	ENSG00000142615	CELA2A	0.583342640217063	A
chr1	15465909	15465911	ENSG00000215704	CELA2B	0.583342640217063	A
chr1	15836095	15836097	ENSG00000065526	SPEN	0.690825038154447	A
chr1	2391828	2391830	ENSG00000157916	RER1	0.58409489674188	A
chr1	12230030	12230032	ENSG00000048707	VPS13D	0.43326091624415	A
chr1	19664875	19664877	ENSG00000158748	HTR6	0.509382441664538	A
chr1	3454665	3454667	ENSG00000130762	ARHGEF16	0.441052628466846	A
chr1	9997206	9997208	ENSG00000162444	RBP7	0.604332946635437	A
chr1	22428838	22428840	ENSG00000184677	ZBTB40	0.460722508992548	A
chr1	19597067	19597069	ENSG00000270136	MICOS10-NBL1	0.582547901155824	A
chr1	11654375	11654377	ENSG00000132879	FBXO44	0.548052802378161	A
chr1	13700198	13700200	ENSG00000116731	PRDM2	0.395972986866732	A
chr1	12791397	12791399	ENSG00000116721	PRAMEF1	0.0731420270037177	A
chr1	9588922	9588924	ENSG00000188807	TMEM201	0.505725587584504	A
chr1	3652516	3652518	ENSG00000078900	TP73	0.718102468295467	A
chr1	11189355	11189357	ENSG00000171819	ANGPTL7	0.689418788377707	A
chr1	7954291	7954293	ENSG00000116288	PARK7	0.492584747423682	A
chr1	26410817	26410819	ENSG00000131914	LIN28A	0.679498482636708	A
chr1	24745447	24745449	ENSG00000169504	CLIC4	0.513640377455613	A
chr1	27392622	27392624	ENSG00000181773	GPR3	0.516149830123927	A
chr1	16352575	16352577	ENSG00000055070	SZRD1	0.752714004246656	A
chr1	26111173	26111175	ENSG00000175087	PDIK1L	0.686077785023837	A
chr1	6785454	6785456	ENSG00000171735	CAMTA1	0.552978084226187	A
chr1	16440724	16440726	ENSG00000157191	NECAP2	0.770450099951572	A
chr1	24631716	24631718	ENSG00000133226	SRRM1	0.503753773890305	A
chr1	11766742	11766744	ENSG00000215910	C1orf167	0.706526984985147	A
chr1	11664200	11664202	ENSG00000116663	FBXO6	0.548052802378161	A
chr1	15659869	15659871	ENSG00000215695	RSC1A1	0.686961694018671	A
chr1	26900238	26900240	ENSG00000090273	NUDC	0.64417644217243	A
chr1	23956839	23956841	ENSG00000189266	PNRC2	0.59322877405373	A
chr1	28369582	28369584	ENSG00000204138	PHACTR4	0.60756011042249	A
chr1	26177491	26177493	ENSG00000142675	CNKSR1	0.686077785023837	A
chr1	26159079	26159081	ENSG00000197245	FAM110D	0.686077785023837	A
chr1	28329002	28329004	ENSG00000130772	MED18	0.60756011042249	A
