chr	start	end	A549-control	A549-nutlin	GM12878-control	GM12878-nutlin	HCT116-control	HCT116-nutlin	HEK293-control	HEK293-nutlin	HeLa-control	HeLa-nutlin	HepG2-control	HepG2-nutlin	IMR90-control	IMR90-nutlin	MCF7-control	MCF7-nutlin	SKNSH-control	SKNSH-nutlin	U2OS-control	U2OS-nutlin	gene	sym
chr1	1471765	1471767	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000160072	ATAD3B
chr1	6624866	6624868	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000041988	THAP3
chr1	3069168	3069170	A	A	B	B	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000142611	PRDM16
chr1	2050411	2050413	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000067606	PRKCZ
chr1	1308597	1308599	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000169972	PUSL1
chr1	1324756	1324758	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000224051	CPTP
chr1	2228319	2228321	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000157933	SKI
chr1	1331280	1331282	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000169962	TAS1R3
chr1	10472288	10472290	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000142655	PEX14
chr1	2425980	2425982	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	NA	A	A	ENSG00000149527	PLCH2
chr1	9292894	9292896	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171621	SPSB1
chr1	6424776	6424778	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000187017	ESPN
chr1	6244179	6244181	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173673	HES3
chr1	5990927	5990929	A	A	A	A	A	B	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000069424	KCNAB2
chr1	15684320	15684322	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116786	PLEKHM2
chr1	1232237	1232239	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000176022	B3GALT6
chr1	8945867	8945869	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131686	CA6
chr1	9943428	9943430	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173614	NMNAT1
chr1	6613731	6613733	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000116273	PHF13
chr1	3746460	3746462	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	ENSG00000162592	CCDC27
chr1	7771296	7771298	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000049245	VAMP3
chr1	11479166	11479168	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000204624	DISP3
chr1	11736084	11736086	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000177674	AGTRAP
chr1	1280436	1280438	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162572	SCNN1D
chr1	9651731	9651733	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171608	PIK3CD
chr1	15152566	15152568	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	A	A	A	ENSG00000171729	TMEM51
chr1	1173880	1173882	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162571	TTLL10
chr1	3625015	3625017	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000158109	TPRG1L
chr1	11806191	11806193	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000011021	CLCN6
chr1	12857086	12857088	B	B	B	B	B	B	A	A	B	B	A	A	B	B	A	A	B	B	B	B	ENSG00000120952	PRAMEF2
chr1	15456728	15456730	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000142615	CELA2A
chr1	15465909	15465911	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000215704	CELA2B
chr1	15836095	15836097	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000065526	SPEN
